# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/D7795_v3_2018.tradis.gff" "-o" "D7795_output_MAC_1.deseq.fc.tsv" "D7795_output_MAC_1.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	D7795_output_MAC_1.deseq.bam
D7795_00090	D7795_v1_chr	89275	90216	+	942	388
D7795_00091	D7795_v1_chr	90266	91552	+	1287	233
D7795_00092	D7795_v1_chr	91549	91836	+	288	41
D7795_00093	D7795_v1_chr	91983	92669	+	687	76
D7795_00094	D7795_v1_chr	92757	93323	+	567	69
D7795_00095	D7795_v1_chr	93412	93642	+	231	195
D7795_00096	D7795_v1_chr	93928	94350	+	423	297
D7795_00097	D7795_v1_chr	94453	94541	-	89	216
D7795_00098	D7795_v1_chr	94574	94864	-	291	203
D7795_00099	D7795_v1_chr	94902	94988	+	87	52
D7795_00100	D7795_v1_chr	95074	95268	+	195	76
D7795_00101	D7795_v1_chr	95762	97651	+	1890	1015
D7795_00102	D7795_v1_chr	98205	98735	+	531	71
D7795_00103	D7795_v1_chr	98728	100590	+	1863	129
D7795_00104	D7795_v1_chr	100789	101268	+	480	7
D7795_00105	D7795_v1_chr	101269	101430	-	162	0
D7795_00106	D7795_v1_chr	101374	102222	-	849	0
D7795_00107	D7795_v1_chr	102233	102610	-	378	40
D7795_00108	D7795_v1_chr	102613	103434	-	822	17
D7795_00109	D7795_v1_chr	103431	104420	-	990	273
D7795_00110	D7795_v1_chr	104420	105706	-	1287	34
D7795_00111	D7795_v1_chr	105760	108117	-	2358	8
D7795_00112	D7795_v1_chr	108371	109183	+	813	21
D7795_00113	D7795_v1_chr	109187	109266	-	80	6
D7795_00114	D7795_v1_chr	109278	109937	-	660	304
D7795_00115	D7795_v1_chr	109949	112855	-	2907	563
D7795_00116	D7795_v1_chr	113029	115380	-	2352	601
D7795_00117	D7795_v1_chr	115424	116044	-	621	431
D7795_00118	D7795_v1_chr	116562	116981	+	420	62
D7795_00119	D7795_v1_chr	116987	117682	-	696	116
D7795_00120	D7795_v1_chr	117823	119325	-	1503	472
D7795_00121	D7795_v1_chr	119336	121045	-	1710	277
D7795_00122	D7795_v1_chr	121385	122230	+	846	211
D7795_00123	D7795_v1_chr	122349	123116	+	768	94
D7795_00124	D7795_v1_chr	123155	123862	-	708	200
D7795_00125	D7795_v1_chr	123846	125456	-	1611	428
D7795_00126	D7795_v1_chr	125432	126415	-	984	299
D7795_00127	D7795_v1_chr	126455	126544	-	90	0
D7795_00128	D7795_v1_chr	126593	128251	-	1659	435
D7795_00129	D7795_v1_chr	128319	128555	+	237	27
D7795_00130	D7795_v1_chr	128344	128466	+	123	0
D7795_00131	D7795_v1_chr	128786	129067	+	282	0
D7795_00132	D7795_v1_chr	129121	129726	-	606	97
D7795_00133	D7795_v1_chr	129737	131137	-	1401	287
D7795_00134	D7795_v1_chr	131140	132231	-	1092	51
D7795_00135	D7795_v1_chr	132231	133802	-	1572	458
D7795_00136	D7795_v1_chr	133890	133976	-	87	266
D7795_00137	D7795_v1_chr	134633	135577	+	945	561
D7795_00138	D7795_v1_chr	135899	137623	+	1725	373
D7795_00139	D7795_v1_chr	137623	138117	+	495	183
D7795_00140	D7795_v1_chr	138161	138335	-	175	25
D7795_00141	D7795_v1_chr	138401	139405	+	1005	8
D7795_00142	D7795_v1_chr	140011	140469	+	459	0
D7795_00143	D7795_v1_chr	140471	141412	+	942	35
D7795_00144	D7795_v1_chr	141409	141774	+	366	0
D7795_00145	D7795_v1_chr	141790	143556	+	1767	0
D7795_00146	D7795_v1_chr	143543	145030	+	1488	0
D7795_00147	D7795_v1_chr	145027	146385	+	1359	0
D7795_00148	D7795_v1_chr	146379	147461	+	1083	0
D7795_00149	D7795_v1_chr	147464	148780	+	1317	0
D7795_00150	D7795_v1_chr	148780	150024	+	1245	0
D7795_00151	D7795_v1_chr	150021	151088	+	1068	0
D7795_00152	D7795_v1_chr	151207	152682	+	1476	0
D7795_00153	D7795_v1_chr	152675	153595	+	921	104
D7795_00154	D7795_v1_chr	153597	154427	+	831	0
D7795_00155	D7795_v1_chr	154424	155686	+	1263	0
D7795_00156	D7795_v1_chr	155747	156898	+	1152	0
D7795_00157	D7795_v1_chr	156999	157916	+	918	1
D7795_00158	D7795_v1_chr	158195	158692	+	498	58
D7795_00159	D7795_v1_chr	158754	161459	+	2706	3
D7795_00160	D7795_v1_chr	161611	162006	+	396	1
D7795_00161	D7795_v1_chr	162040	163029	-	990	350
D7795_00162	D7795_v1_chr	163133	164056	+	924	86
D7795_00163	D7795_v1_chr	164053	164244	-	192	16
D7795_00164	D7795_v1_chr	164254	164997	-	744	8
D7795_00165	D7795_v1_chr	164997	165617	-	621	0
D7795_00166	D7795_v1_chr	165843	166886	+	1044	431
D7795_00167	D7795_v1_chr	166917	168119	-	1203	391
D7795_00168	D7795_v1_chr	168109	169494	-	1386	551
D7795_00169	D7795_v1_chr	169504	169941	-	438	102
D7795_00170	D7795_v1_chr	170163	171056	-	894	52
D7795_00171	D7795_v1_chr	171144	171707	+	564	204
D7795_00172	D7795_v1_chr	171704	172558	+	855	215
D7795_00173	D7795_v1_chr	172650	173600	-	951	222
D7795_00174	D7795_v1_chr	173600	175006	-	1407	224
D7795_00175	D7795_v1_chr	175170	176540	-	1371	424
D7795_00176	D7795_v1_chr	177106	177870	+	765	133
D7795_00177	D7795_v1_chr	177872	178028	-	157	2
D7795_00178	D7795_v1_chr	178030	180693	+	2664	1
D7795_00179	D7795_v1_chr	180708	182591	+	1884	0
D7795_00180	D7795_v1_chr	182793	184217	+	1425	0
D7795_00181	D7795_v1_chr	184506	184790	+	285	0
D7795_00182	D7795_v1_chr	184828	185619	-	792	272
D7795_00183	D7795_v1_chr	185632	187254	-	1623	268
D7795_00184	D7795_v1_chr	187643	190240	+	2598	72
D7795_00185	D7795_v1_chr	190280	190744	-	465	216
D7795_00186	D7795_v1_chr	191162	191485	-	324	246
D7795_00187	D7795_v1_chr	191756	192118	+	363	81
D7795_00188	D7795_v1_chr	192353	193306	+	954	190
D7795_00189	D7795_v1_chr	193303	194574	+	1272	299
D7795_00190	D7795_v1_chr	194564	195547	+	984	32
D7795_00191	D7795_v1_chr	195557	196324	+	768	116
D7795_00192	D7795_v1_chr	196354	197148	-	795	139
D7795_00193	D7795_v1_chr	197169	198029	-	861	124
D7795_00194	D7795_v1_chr	198136	198522	-	387	29
D7795_00195	D7795_v1_chr	198685	200295	+	1611	586
D7795_00196	D7795_v1_chr	200373	202763	-	2391	490
D7795_00197	D7795_v1_chr	202969	203505	+	537	62
D7795_00198	D7795_v1_chr	203563	204225	-	663	0
D7795_00199	D7795_v1_chr	204334	205260	+	927	188
D7795_00200	D7795_v1_chr	205257	206027	+	771	136
D7795_00201	D7795_v1_chr	206147	207226	-	1080	364
D7795_00202	D7795_v1_chr	207235	209793	-	2559	543
D7795_00203	D7795_v1_chr	209808	210491	-	684	275
D7795_00204	D7795_v1_chr	210539	211078	-	540	800
D7795_00205	D7795_v1_chr	211448	211888	+	441	212
D7795_00206	D7795_v1_chr	211950	213179	+	1230	516
D7795_00207	D7795_v1_chr	212027	212130	-	104	0
D7795_00208	D7795_v1_chr	213186	213566	-	381	0
D7795_00209	D7795_v1_chr	213661	214515	-	855	133
D7795_00210	D7795_v1_chr	214641	215432	-	792	151
D7795_00211	D7795_v1_chr	215553	216032	-	480	0
D7795_00212	D7795_v1_chr	216029	217447	-	1419	358
D7795_00213	D7795_v1_chr	217588	218529	-	942	210
D7795_00214	D7795_v1_chr	218553	219008	-	456	0
D7795_00215	D7795_v1_chr	219185	219889	-	705	195
D7795_00216	D7795_v1_chr	219906	220436	-	531	369
D7795_00217	D7795_v1_chr	220464	222938	+	2475	886
D7795_00218	D7795_v1_chr	223079	225601	+	2523	518
D7795_00219	D7795_v1_chr	225610	225835	-	226	163
D7795_00220	D7795_v1_chr	225894	228137	+	2244	488
D7795_00221	D7795_v1_chr	228186	228983	+	798	88
D7795_00222	D7795_v1_chr	228983	229873	+	891	2
D7795_00223	D7795_v1_chr	229870	231927	+	2058	597
D7795_00224	D7795_v1_chr	231964	232170	+	207	149
D7795_00225	D7795_v1_chr	232863	233423	+	561	287
D7795_00226	D7795_v1_chr	233509	236166	+	2658	1060
D7795_00227	D7795_v1_chr	236184	236936	+	753	198
D7795_00228	D7795_v1_chr	236955	237467	+	513	285
D7795_00229	D7795_v1_chr	237464	237940	+	477	106
D7795_00230	D7795_v1_chr	237940	238470	+	531	23
D7795_00231	D7795_v1_chr	238467	239309	+	843	162
D7795_00232	D7795_v1_chr	239301	239398	+	98	0
D7795_00233	D7795_v1_chr	239417	240697	-	1281	0
D7795_00234	D7795_v1_chr	240867	242288	+	1422	152
D7795_00235	D7795_v1_chr	242370	242714	+	345	0
D7795_00236	D7795_v1_chr	242815	243438	-	624	251
D7795_00237	D7795_v1_chr	243475	244275	-	801	54
D7795_00238	D7795_v1_chr	244268	244966	-	699	0
D7795_00239	D7795_v1_chr	245051	246568	+	1518	1462
D7795_00240	D7795_v1_chr	246698	248125	+	1428	421
D7795_00241	D7795_v1_chr	248048	248164	+	117	0
D7795_00242	D7795_v1_chr	248278	249435	+	1158	341
D7795_00243	D7795_v1_chr	249311	252523	-	3213	798
D7795_00244	D7795_v1_chr	252709	253095	-	387	159
D7795_00245	D7795_v1_chr	253342	254643	+	1302	277
D7795_00246	D7795_v1_chr	254548	254669	+	122	0
D7795_00247	D7795_v1_chr	254680	255504	-	825	0
D7795_00248	D7795_v1_chr	255534	258206	-	2673	45
D7795_00249	D7795_v1_chr	258444	259238	-	795	0
D7795_00250	D7795_v1_chr	259522	259660	+	139	0
D7795_00251	D7795_v1_chr	259689	260414	+	726	0
D7795_00252	D7795_v1_chr	260600	261523	+	924	0
D7795_00253	D7795_v1_chr	261668	262393	+	726	0
D7795_00254	D7795_v1_chr	262540	263097	+	558	0
D7795_00255	D7795_v1_chr	263121	263186	+	66	0
D7795_00256	D7795_v1_chr	263238	264434	+	1197	0
D7795_00257	D7795_v1_chr	264512	264560	+	49	49
D7795_00258	D7795_v1_chr	264747	265505	+	759	0
D7795_00259	D7795_v1_chr	265518	266375	+	858	0
D7795_00260	D7795_v1_chr	266387	267739	+	1353	0
D7795_00261	D7795_v1_chr	267771	270185	+	2415	0
D7795_00262	D7795_v1_chr	270308	270793	+	486	9
D7795_00263	D7795_v1_chr	270797	271822	+	1026	0
D7795_00264	D7795_v1_chr	271928	272383	+	456	0
D7795_00265	D7795_v1_chr	272387	273175	+	789	0
D7795_00266	D7795_v1_chr	273175	274323	+	1149	19
D7795_00267	D7795_v1_chr	274320	274916	+	597	54
D7795_00268	D7795_v1_chr	274940	278422	+	3483	0
D7795_00269	D7795_v1_chr	278435	279394	+	960	0
D7795_00270	D7795_v1_chr	279574	281337	+	1764	247
D7795_00271	D7795_v1_chr	281413	283554	+	2142	335
D7795_00272	D7795_v1_chr	283610	283999	+	390	11
D7795_00273	D7795_v1_chr	284062	285354	+	1293	3
D7795_00274	D7795_v1_chr	285438	285698	-	261	180
D7795_00275	D7795_v1_chr	285685	285885	-	201	0
D7795_00276	D7795_v1_chr	286083	286628	+	546	51
D7795_00277	D7795_v1_chr	286625	287047	+	423	71
D7795_00278	D7795_v1_chr	287079	287780	+	702	153
D7795_00279	D7795_v1_chr	287854	289572	-	1719	1
D7795_00280	D7795_v1_chr	289683	290390	-	708	93
D7795_00281	D7795_v1_chr	290387	290791	-	405	311
D7795_00282	D7795_v1_chr	290910	291725	-	816	189
D7795_00283	D7795_v1_chr	291764	292417	-	654	257
D7795_00284	D7795_v1_chr	292410	293441	-	1032	206
D7795_00285	D7795_v1_chr	293631	294197	+	567	0
D7795_00286	D7795_v1_chr	294571	296106	+	1536	486
D7795_00287	D7795_v1_chr	296177	296253	+	77	102
D7795_00288	D7795_v1_chr	296365	296440	+	76	0
D7795_00289	D7795_v1_chr	296625	299526	+	2902	1190
D7795_00290	D7795_v1_chr	299727	299837	+	111	1
D7795_00291	D7795_v1_chr	300032	300108	+	77	0
D7795_00292	D7795_v1_chr	300273	301076	+	804	107
D7795_00293	D7795_v1_chr	301097	302011	-	915	29
D7795_00294	D7795_v1_chr	302116	303291	+	1176	69
D7795_00295	D7795_v1_chr	303423	304223	+	801	119
D7795_00296	D7795_v1_chr	304301	305071	+	771	0
D7795_00297	D7795_v1_chr	305127	306347	-	1221	500
D7795_00298	D7795_v1_chr	306566	307321	-	756	74
D7795_00299	D7795_v1_chr	307356	308078	+	723	69
D7795_00300	D7795_v1_chr	308075	308542	-	468	8
D7795_00301	D7795_v1_chr	308597	309337	+	741	0
D7795_00302	D7795_v1_chr	309471	309547	+	77	4
D7795_00303	D7795_v1_chr	309870	310925	-	1056	130
D7795_00304	D7795_v1_chr	310936	311679	-	744	59
D7795_00305	D7795_v1_chr	311736	312008	+	273	187
D7795_00306	D7795_v1_chr	312035	312553	+	519	237
D7795_00307	D7795_v1_chr	312950	313591	+	642	148
D7795_00308	D7795_v1_chr	313534	316830	+	3297	1059
D7795_00309	D7795_v1_chr	316827	317273	+	447	4
D7795_00310	D7795_v1_chr	317339	317596	-	258	97
D7795_00311	D7795_v1_chr	317778	317840	+	63	48
D7795_00312	D7795_v1_chr	318669	318917	+	249	5
D7795_00313	D7795_v1_chr	318722	319039	+	318	3
D7795_00314	D7795_v1_chr	319072	319503	+	432	0
D7795_00315	D7795_v1_chr	319615	319737	+	123	0
D7795_00316	D7795_v1_chr	319877	320098	+	222	0
D7795_00317	D7795_v1_chr	320165	320407	-	243	193
D7795_00318	D7795_v1_chr	320621	320728	+	108	73
D7795_00319	D7795_v1_chr	320954	321232	+	279	111
D7795_00320	D7795_v1_chr	321995	322492	+	498	16
D7795_00321	D7795_v1_chr	322708	323313	+	606	368
D7795_00322	D7795_v1_chr	323337	325847	+	2511	797
D7795_00323	D7795_v1_chr	325869	326339	+	471	160
D7795_00324	D7795_v1_chr	326747	327568	+	822	134
D7795_00325	D7795_v1_chr	327450	328061	-	612	28
D7795_00326	D7795_v1_chr	327693	327908	+	216	0
D7795_00327	D7795_v1_chr	328049	328180	+	132	23
D7795_00328	D7795_v1_chr	328383	329330	+	948	13
D7795_00329	D7795_v1_chr	329450	329665	+	216	28
D7795_00330	D7795_v1_chr	329669	330388	-	720	772
D7795_00331	D7795_v1_chr	330719	331126	-	408	312
D7795_00332	D7795_v1_chr	331436	332203	-	768	114
D7795_00333	D7795_v1_chr	332312	334756	-	2445	805
D7795_00334	D7795_v1_chr	334996	335574	+	579	0
D7795_00335	D7795_v1_chr	335787	336554	+	768	202
D7795_00336	D7795_v1_chr	336525	337265	-	741	191
D7795_00337	D7795_v1_chr	337515	338570	+	1056	1095
D7795_00338	D7795_v1_chr	338675	338722	+	48	22
D7795_00339	D7795_v1_chr	338789	339928	+	1140	265
D7795_00340	D7795_v1_chr	339925	340539	+	615	132
D7795_00341	D7795_v1_chr	340694	342151	-	1458	271
D7795_00342	D7795_v1_chr	342400	342858	+	459	189
D7795_00343	D7795_v1_chr	342947	344191	+	1245	220
D7795_00344	D7795_v1_chr	344249	344650	+	402	190
D7795_00345	D7795_v1_chr	344701	345753	-	1053	475
D7795_00346	D7795_v1_chr	346036	347139	+	1104	81
D7795_00347	D7795_v1_chr	347151	348398	+	1248	100
D7795_00348	D7795_v1_chr	348514	348589	+	76	0
D7795_00349	D7795_v1_chr	348753	349022	+	270	45
D7795_00350	D7795_v1_chr	349035	349436	+	402	68
D7795_00351	D7795_v1_chr	349361	349660	-	300	29
D7795_00352	D7795_v1_chr	349727	350095	+	369	147
D7795_00353	D7795_v1_chr	350040	350168	+	129	1
D7795_00354	D7795_v1_chr	350302	350601	+	300	98
D7795_00355	D7795_v1_chr	350949	352181	+	1233	263
D7795_00356	D7795_v1_chr	352313	353734	+	1422	759
D7795_00357	D7795_v1_chr	353736	354362	+	627	190
D7795_00358	D7795_v1_chr	354377	355255	+	879	185
D7795_00359	D7795_v1_chr	355255	356169	+	915	68
D7795_00360	D7795_v1_chr	356177	356256	+	80	0
D7795_00361	D7795_v1_chr	356203	357168	+	966	370
D7795_00362	D7795_v1_chr	357113	357385	-	273	69
D7795_00363	D7795_v1_chr	358077	358475	+	399	23
D7795_00364	D7795_v1_chr	358522	359280	-	759	351
D7795_00365	D7795_v1_chr	359246	360571	-	1326	947
D7795_00366	D7795_v1_chr	360576	363137	-	2562	540
D7795_00367	D7795_v1_chr	363121	363882	-	762	172
D7795_00368	D7795_v1_chr	363944	364480	-	537	288
D7795_00369	D7795_v1_chr	365143	365877	+	735	19
D7795_00370	D7795_v1_chr	365850	366350	+	501	25
D7795_00371	D7795_v1_chr	366439	366536	+	98	0
D7795_00372	D7795_v1_chr	366652	368226	+	1575	1412
D7795_00373	D7795_v1_chr	368326	369069	+	744	266
D7795_00374	D7795_v1_chr	369042	369530	+	489	17
D7795_00375	D7795_v1_chr	369931	370455	+	525	6
D7795_00376	D7795_v1_chr	370713	371240	+	528	26
D7795_00377	D7795_v1_chr	371251	371475	+	225	131
D7795_00378	D7795_v1_chr	371533	371892	+	360	257
D7795_00379	D7795_v1_chr	371962	373419	-	1458	184
D7795_00380	D7795_v1_chr	373436	376603	-	3168	873
D7795_00381	D7795_v1_chr	376600	377826	-	1227	344
D7795_00382	D7795_v1_chr	378103	378936	+	834	71
D7795_00383	D7795_v1_chr	378933	380405	+	1473	494
D7795_00384	D7795_v1_chr	380402	380866	+	465	228
D7795_00385	D7795_v1_chr	380944	381138	+	195	0
D7795_00386	D7795_v1_chr	381182	381295	-	114	0
D7795_00387	D7795_v1_chr	381430	382683	+	1254	617
D7795_00388	D7795_v1_chr	382872	384830	+	1959	512
D7795_00389	D7795_v1_chr	384840	387812	+	2973	1661
D7795_00390	D7795_v1_chr	388089	388190	+	102	12
D7795_00391	D7795_v1_chr	388307	389710	+	1404	298
D7795_00392	D7795_v1_chr	389707	390717	+	1011	144
D7795_00393	D7795_v1_chr	390717	390848	+	132	0
D7795_00394	D7795_v1_chr	390734	390959	+	226	15
D7795_00395	D7795_v1_chr	391052	392059	+	1008	254
D7795_00396	D7795_v1_chr	392223	394313	+	2091	744
D7795_00397	D7795_v1_chr	394354	394986	-	633	130
D7795_00398	D7795_v1_chr	395218	395493	+	276	40
D7795_00399	D7795_v1_chr	395629	397254	-	1626	585
D7795_00400	D7795_v1_chr	397520	398407	+	888	114
D7795_00401	D7795_v1_chr	398438	398520	-	83	5
D7795_00402	D7795_v1_chr	398530	399699	+	1170	231
D7795_00403	D7795_v1_chr	399737	401188	+	1452	411
D7795_00404	D7795_v1_chr	401229	402800	+	1572	287
D7795_00405	D7795_v1_chr	402919	404439	+	1521	875
D7795_00406	D7795_v1_chr	404426	405169	+	744	200
D7795_00407	D7795_v1_chr	405253	405564	+	312	0
D7795_00408	D7795_v1_chr	405668	406642	-	975	3
D7795_00409	D7795_v1_chr	407155	410169	+	3015	2488
D7795_00410	D7795_v1_chr	410255	410878	+	624	337
D7795_00411	D7795_v1_chr	410923	412080	-	1158	883
D7795_00412	D7795_v1_chr	412427	413647	+	1221	468
D7795_00413	D7795_v1_chr	413662	414756	+	1095	323
D7795_00414	D7795_v1_chr	414794	415102	-	309	98
D7795_00415	D7795_v1_chr	415370	415585	+	216	54
D7795_00416	D7795_v1_chr	415611	416723	-	1113	103
D7795_00417	D7795_v1_chr	416813	417496	+	684	104
D7795_00418	D7795_v1_chr	417665	418876	+	1212	567
D7795_00419	D7795_v1_chr	419173	419433	+	261	454
D7795_00420	D7795_v1_chr	419536	419661	-	126	53
D7795_00421	D7795_v1_chr	419782	420102	+	321	33
D7795_00422	D7795_v1_chr	420194	421306	+	1113	301
D7795_00423	D7795_v1_chr	421321	422130	-	810	7
D7795_00424	D7795_v1_chr	422270	422725	+	456	74
D7795_00425	D7795_v1_chr	422910	423455	+	546	301
D7795_00426	D7795_v1_chr	423482	423673	+	192	39
D7795_00427	D7795_v1_chr	423678	423770	+	93	53
D7795_00428	D7795_v1_chr	423924	424601	+	678	166
D7795_00429	D7795_v1_chr	424672	424956	+	285	10
D7795_00430	D7795_v1_chr	424994	425905	-	912	166
D7795_00431	D7795_v1_chr	426031	426939	+	909	480
D7795_00432	D7795_v1_chr	426961	428133	-	1173	182
D7795_00433	D7795_v1_chr	428306	431446	-	3141	536
D7795_00434	D7795_v1_chr	431443	432645	-	1203	199
D7795_00435	D7795_v1_chr	432860	433549	+	690	76
D7795_00436	D7795_v1_chr	433619	434914	+	1296	527
D7795_00437	D7795_v1_chr	435323	436642	+	1320	193
D7795_00438	D7795_v1_chr	436717	438087	+	1371	174
D7795_00439	D7795_v1_chr	438249	440066	+	1818	278
D7795_00440	D7795_v1_chr	440138	440740	-	603	183
D7795_00441	D7795_v1_chr	440950	441531	-	582	45
D7795_00442	D7795_v1_chr	441625	442689	+	1065	35
D7795_00443	D7795_v1_chr	442886	444013	+	1128	76
D7795_00444	D7795_v1_chr	444036	444368	+	333	0
D7795_00445	D7795_v1_chr	444429	446243	+	1815	0
D7795_00446	D7795_v1_chr	446254	447225	+	972	0
D7795_00447	D7795_v1_chr	447370	447735	+	366	18
D7795_00448	D7795_v1_chr	447761	448453	+	693	1
D7795_00449	D7795_v1_chr	448623	448970	+	348	40
D7795_00450	D7795_v1_chr	449218	449544	-	327	0
D7795_00451	D7795_v1_chr	449252	449515	+	264	0
D7795_00452	D7795_v1_chr	449294	449359	-	66	0
D7795_00453	D7795_v1_chr	449599	450462	-	864	109
D7795_00454	D7795_v1_chr	450762	451301	-	540	137
D7795_00455	D7795_v1_chr	451453	451902	+	450	78
D7795_00456	D7795_v1_chr	451906	453009	+	1104	0
D7795_00457	D7795_v1_chr	453098	453568	+	471	0
D7795_00458	D7795_v1_chr	453589	454008	+	420	0
D7795_00459	D7795_v1_chr	454087	455067	+	981	0
D7795_00460	D7795_v1_chr	455045	455560	+	516	56
D7795_00461	D7795_v1_chr	455664	455936	-	273	52
D7795_00462	D7795_v1_chr	456006	456638	-	633	73
D7795_00463	D7795_v1_chr	456695	458557	-	1863	0
