# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/P125109_v3_2018.tradis.gff" "-o" "P125109_input_LB_1.deseq.fc.tsv" "P125109_input_LB_1.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	P125109_input_LB_1.deseq.bam
P125109_00068	P125109_v1_chr	66901	67033	+	133	0
P125109_00069	P125109_v1_chr	67037	68377	-	1341	2321
P125109_00070	P125109_v1_chr	68697	69665	+	969	781
P125109_00071	P125109_v1_chr	69695	69988	+	294	212
P125109_00072	P125109_v1_chr	69985	70854	+	870	599
P125109_00073	P125109_v1_chr	70865	72385	+	1521	687
P125109_00074	P125109_v1_chr	72385	72936	+	552	493
P125109_00075	P125109_v1_chr	72914	73822	+	909	475
P125109_00076	P125109_v1_chr	74002	74823	+	822	1
P125109_00077	P125109_v1_chr	74829	74906	+	78	135
P125109_00078	P125109_v1_chr	74876	74989	-	114	8
P125109_00079	P125109_v1_chr	75685	76833	+	1149	1174
P125109_00080	P125109_v1_chr	76852	80079	+	3228	2909
P125109_00081	P125109_v1_chr	80353	80748	+	396	1298
P125109_00082	P125109_v1_chr	80826	81422	-	597	630
P125109_00083	P125109_v1_chr	81532	82317	-	786	1048
P125109_00084	P125109_v1_chr	82371	83924	-	1554	2406
P125109_00085	P125109_v1_chr	83987	85204	-	1218	1219
P125109_00086	P125109_v1_chr	85316	86458	-	1143	699
P125109_00087	P125109_v1_chr	86493	88010	-	1518	1939
P125109_00088	P125109_v1_chr	88491	89261	+	771	632
P125109_00089	P125109_v1_chr	89277	90218	+	942	571
P125109_00090	P125109_v1_chr	90268	91554	+	1287	332
P125109_00091	P125109_v1_chr	91551	91838	+	288	89
P125109_00092	P125109_v1_chr	91985	93325	+	1341	1549
P125109_00093	P125109_v1_chr	93414	93644	+	231	549
P125109_00094	P125109_v1_chr	93930	94352	+	423	1973
P125109_00095	P125109_v1_chr	94455	94543	-	89	461
P125109_00096	P125109_v1_chr	94576	94866	-	291	1121
P125109_00097	P125109_v1_chr	94904	94990	+	87	359
P125109_00098	P125109_v1_chr	95076	95270	+	195	318
P125109_00099	P125109_v1_chr	95764	97653	+	1890	2801
P125109_00100	P125109_v1_chr	98060	98590	+	531	583
P125109_00101	P125109_v1_chr	98583	100445	+	1863	667
P125109_00102	P125109_v1_chr	100644	101123	+	480	3
P125109_00103	P125109_v1_chr	101124	101285	-	162	168
P125109_00104	P125109_v1_chr	101229	102077	-	849	43
P125109_00105	P125109_v1_chr	102088	102465	-	378	576
P125109_00106	P125109_v1_chr	102468	103289	-	822	146
P125109_00107	P125109_v1_chr	103286	104275	-	990	542
P125109_00108	P125109_v1_chr	104275	105561	-	1287	868
P125109_00109	P125109_v1_chr	105615	107975	-	2361	323
P125109_00110	P125109_v1_chr	108229	109041	+	813	496
P125109_00111	P125109_v1_chr	109045	109124	-	80	24
P125109_00112	P125109_v1_chr	109136	109795	-	660	427
P125109_00113	P125109_v1_chr	109807	112713	-	2907	2194
P125109_00114	P125109_v1_chr	112887	115238	-	2352	1108
P125109_00115	P125109_v1_chr	115282	115902	-	621	1651
P125109_00116	P125109_v1_chr	116420	116839	+	420	411
P125109_00117	P125109_v1_chr	116845	117540	-	696	415
P125109_00118	P125109_v1_chr	117681	119183	-	1503	1067
P125109_00119	P125109_v1_chr	119194	120903	-	1710	1025
P125109_00120	P125109_v1_chr	121243	122088	+	846	765
P125109_00121	P125109_v1_chr	122207	122974	+	768	647
P125109_00122	P125109_v1_chr	123013	123720	-	708	321
P125109_00123	P125109_v1_chr	123704	125314	-	1611	1265
P125109_00124	P125109_v1_chr	125290	126273	-	984	493
P125109_00125	P125109_v1_chr	126313	126402	-	90	19
P125109_00126	P125109_v1_chr	126451	128109	-	1659	729
P125109_00127	P125109_v1_chr	128177	128413	+	237	394
P125109_00128	P125109_v1_chr	128202	128324	+	123	0
P125109_00129	P125109_v1_chr	128644	128925	+	282	334
P125109_00130	P125109_v1_chr	128979	129584	-	606	613
P125109_00131	P125109_v1_chr	129595	130995	-	1401	1521
P125109_00132	P125109_v1_chr	130998	132089	-	1092	510
P125109_00133	P125109_v1_chr	132089	133660	-	1572	1628
P125109_00134	P125109_v1_chr	133748	133834	-	87	712
P125109_00135	P125109_v1_chr	134491	135435	+	945	3298
P125109_00136	P125109_v1_chr	135757	137481	+	1725	1958
P125109_00137	P125109_v1_chr	137481	137975	+	495	516
P125109_00138	P125109_v1_chr	138019	138193	-	175	208
P125109_00139	P125109_v1_chr	138259	139263	+	1005	260
P125109_00140	P125109_v1_chr	139869	140327	+	459	369
P125109_00141	P125109_v1_chr	140329	141270	+	942	430
P125109_00142	P125109_v1_chr	141267	141632	+	366	38
P125109_00143	P125109_v1_chr	141648	143414	+	1767	50
P125109_00144	P125109_v1_chr	143401	144888	+	1488	3
P125109_00145	P125109_v1_chr	144885	146243	+	1359	127
P125109_00146	P125109_v1_chr	146237	147319	+	1083	3
P125109_00147	P125109_v1_chr	147322	148638	+	1317	2
P125109_00148	P125109_v1_chr	148638	149882	+	1245	66
P125109_00149	P125109_v1_chr	149879	150946	+	1068	1
P125109_00150	P125109_v1_chr	151065	152540	+	1476	28
P125109_00151	P125109_v1_chr	152533	153453	+	921	222
P125109_00152	P125109_v1_chr	153455	154285	+	831	248
P125109_00153	P125109_v1_chr	154282	155544	+	1263	1
P125109_00154	P125109_v1_chr	155605	156756	+	1152	3
P125109_00155	P125109_v1_chr	156857	157774	+	918	1
P125109_00156	P125109_v1_chr	158053	158550	+	498	2
P125109_00157	P125109_v1_chr	158612	161317	+	2706	2
P125109_00158	P125109_v1_chr	161469	161864	+	396	170
P125109_00159	P125109_v1_chr	161898	162188	-	291	164
P125109_00160	P125109_v1_chr	162293	162886	-	594	765
P125109_00161	P125109_v1_chr	162990	163913	+	924	165
P125109_00162	P125109_v1_chr	163910	164101	-	192	21
P125109_00163	P125109_v1_chr	164111	164854	-	744	296
P125109_00164	P125109_v1_chr	164854	165474	-	621	34
P125109_00165	P125109_v1_chr	165700	166743	+	1044	1104
P125109_00166	P125109_v1_chr	166774	167976	-	1203	1210
P125109_00167	P125109_v1_chr	167966	169351	-	1386	1556
P125109_00168	P125109_v1_chr	169361	169798	-	438	393
P125109_00169	P125109_v1_chr	170020	170913	-	894	681
P125109_00170	P125109_v1_chr	171001	171564	+	564	465
P125109_00171	P125109_v1_chr	171561	172415	+	855	716
P125109_00172	P125109_v1_chr	172507	173457	-	951	563
P125109_00173	P125109_v1_chr	173457	174863	-	1407	650
P125109_00174	P125109_v1_chr	175027	176397	-	1371	1100
P125109_00175	P125109_v1_chr	176963	177727	+	765	566
P125109_00176	P125109_v1_chr	177729	177885	-	157	0
P125109_00177	P125109_v1_chr	177887	180550	+	2664	275
P125109_00178	P125109_v1_chr	180565	182448	+	1884	49
P125109_00179	P125109_v1_chr	182650	184074	+	1425	10
P125109_00180	P125109_v1_chr	184363	184647	+	285	82
P125109_00181	P125109_v1_chr	184685	185476	-	792	343
P125109_00182	P125109_v1_chr	185489	187111	-	1623	810
P125109_00183	P125109_v1_chr	187500	190097	+	2598	995
P125109_00184	P125109_v1_chr	190137	190601	-	465	667
P125109_00185	P125109_v1_chr	191019	191342	-	324	1657
P125109_00186	P125109_v1_chr	191613	191975	+	363	440
P125109_00187	P125109_v1_chr	192210	193163	+	954	283
P125109_00188	P125109_v1_chr	193160	194431	+	1272	223
P125109_00189	P125109_v1_chr	194421	195404	+	984	535
P125109_00190	P125109_v1_chr	195414	196181	+	768	827
P125109_00191	P125109_v1_chr	196211	197005	-	795	688
P125109_00192	P125109_v1_chr	197026	197886	-	861	352
P125109_00193	P125109_v1_chr	197993	198379	-	387	117
P125109_00194	P125109_v1_chr	198542	200152	+	1611	1124
P125109_00195	P125109_v1_chr	200230	202620	-	2391	2009
P125109_00196	P125109_v1_chr	202826	203362	+	537	181
P125109_00197	P125109_v1_chr	203420	204082	-	663	0
P125109_00198	P125109_v1_chr	204191	205117	+	927	638
P125109_00199	P125109_v1_chr	205114	205884	+	771	734
P125109_00200	P125109_v1_chr	206004	207083	-	1080	1238
P125109_00201	P125109_v1_chr	207092	209650	-	2559	2186
P125109_00202	P125109_v1_chr	209665	210348	-	684	746
P125109_00203	P125109_v1_chr	210396	210935	-	540	1879
P125109_00204	P125109_v1_chr	211305	211745	+	441	1101
P125109_00205	P125109_v1_chr	211807	213036	+	1230	1373
P125109_00206	P125109_v1_chr	211884	211987	-	104	0
P125109_00207	P125109_v1_chr	213043	213423	-	381	301
P125109_00208	P125109_v1_chr	213518	214372	-	855	667
P125109_00209	P125109_v1_chr	214498	215289	-	792	351
P125109_00210	P125109_v1_chr	215410	215889	-	480	68
P125109_00211	P125109_v1_chr	215886	217304	-	1419	1086
P125109_00212	P125109_v1_chr	217445	218386	-	942	927
P125109_00213	P125109_v1_chr	218410	218865	-	456	125
P125109_00214	P125109_v1_chr	219042	219746	-	705	1381
P125109_00215	P125109_v1_chr	219763	220293	-	531	1101
P125109_00216	P125109_v1_chr	220321	222795	+	2475	2248
P125109_00217	P125109_v1_chr	222936	225458	+	2523	2994
P125109_00218	P125109_v1_chr	225467	225692	-	226	619
P125109_00219	P125109_v1_chr	225751	227994	+	2244	2153
P125109_00220	P125109_v1_chr	228043	228840	+	798	369
P125109_00221	P125109_v1_chr	228840	229730	+	891	424
P125109_00222	P125109_v1_chr	229727	231784	+	2058	906
P125109_00223	P125109_v1_chr	231821	232027	+	207	257
P125109_00224	P125109_v1_chr	232721	233281	+	561	1420
P125109_00225	P125109_v1_chr	233367	236024	+	2658	4706
P125109_00226	P125109_v1_chr	236042	236794	+	753	749
P125109_00227	P125109_v1_chr	236813	237325	+	513	549
P125109_00228	P125109_v1_chr	237322	237798	+	477	35
P125109_00229	P125109_v1_chr	237798	238328	+	531	267
P125109_00230	P125109_v1_chr	238325	239167	+	843	465
P125109_00231	P125109_v1_chr	239159	239256	+	98	21
P125109_00232	P125109_v1_chr	239275	240555	-	1281	2
P125109_00233	P125109_v1_chr	240725	242146	+	1422	1270
P125109_00234	P125109_v1_chr	242228	242572	+	345	0
P125109_00235	P125109_v1_chr	242673	243296	-	624	872
P125109_00236	P125109_v1_chr	243333	244133	-	801	290
P125109_00237	P125109_v1_chr	244126	244824	-	699	34
P125109_00238	P125109_v1_chr	244909	246426	+	1518	5543
P125109_00239	P125109_v1_chr	246556	247983	+	1428	1499
P125109_00240	P125109_v1_chr	247906	248022	+	117	95
P125109_00241	P125109_v1_chr	248136	249293	+	1158	662
P125109_00242	P125109_v1_chr	249350	252382	-	3033	3156
P125109_00243	P125109_v1_chr	252568	252954	-	387	530
P125109_00244	P125109_v1_chr	253201	254502	+	1302	1329
P125109_00245	P125109_v1_chr	254407	254528	+	122	0
P125109_00246	P125109_v1_chr	254539	255363	-	825	55
P125109_00247	P125109_v1_chr	255393	258065	-	2673	56
P125109_00248	P125109_v1_chr	258303	259097	-	795	34
P125109_00249	P125109_v1_chr	259381	259519	+	139	0
P125109_00250	P125109_v1_chr	259548	260273	+	726	0
P125109_00251	P125109_v1_chr	260459	261382	+	924	4
P125109_00252	P125109_v1_chr	261527	262252	+	726	4
P125109_00253	P125109_v1_chr	262399	262956	+	558	0
P125109_00254	P125109_v1_chr	262980	263045	+	66	0
P125109_00255	P125109_v1_chr	263097	264293	+	1197	1
P125109_00256	P125109_v1_chr	264371	264419	+	49	2
P125109_00257	P125109_v1_chr	264606	265364	+	759	2
P125109_00258	P125109_v1_chr	265377	266234	+	858	40
P125109_00259	P125109_v1_chr	266246	267598	+	1353	128
P125109_00260	P125109_v1_chr	267630	270044	+	2415	69
P125109_00261	P125109_v1_chr	270167	270652	+	486	229
P125109_00262	P125109_v1_chr	270656	271681	+	1026	1
P125109_00263	P125109_v1_chr	271787	272242	+	456	1
P125109_00264	P125109_v1_chr	272246	273034	+	789	43
P125109_00265	P125109_v1_chr	273034	274182	+	1149	39
P125109_00266	P125109_v1_chr	274179	274775	+	597	369
P125109_00267	P125109_v1_chr	274799	278281	+	3483	4
P125109_00268	P125109_v1_chr	278294	279253	+	960	0
P125109_00269	P125109_v1_chr	279433	281196	+	1764	623
P125109_00270	P125109_v1_chr	281272	283413	+	2142	988
P125109_00271	P125109_v1_chr	283469	283858	+	390	523
P125109_00272	P125109_v1_chr	283921	285213	+	1293	42
P125109_00273	P125109_v1_chr	285297	285557	-	261	56
P125109_00274	P125109_v1_chr	285544	285744	-	201	98
P125109_00275	P125109_v1_chr	285942	286487	+	546	476
P125109_00276	P125109_v1_chr	286484	286906	+	423	196
P125109_00277	P125109_v1_chr	286938	287639	+	702	572
P125109_00278	P125109_v1_chr	287713	289431	-	1719	3
P125109_00279	P125109_v1_chr	289542	290249	-	708	981
P125109_00280	P125109_v1_chr	290246	290650	-	405	782
P125109_00281	P125109_v1_chr	290769	291584	-	816	592
P125109_00282	P125109_v1_chr	291623	292276	-	654	1370
P125109_00283	P125109_v1_chr	292269	293300	-	1032	1322
P125109_00284	P125109_v1_chr	293490	294056	+	567	110
P125109_00285	P125109_v1_chr	294430	295967	+	1538	2709
P125109_00286	P125109_v1_chr	296038	296114	+	77	103
P125109_00287	P125109_v1_chr	296226	296301	+	76	140
P125109_00288	P125109_v1_chr	296486	299527	+	3042	4261
P125109_00289	P125109_v1_chr	299727	299837	+	111	75
P125109_00290	P125109_v1_chr	300032	300108	+	77	0
P125109_00291	P125109_v1_chr	300273	301076	+	804	518
P125109_00292	P125109_v1_chr	301097	302011	-	915	355
P125109_00293	P125109_v1_chr	302116	303291	+	1176	607
P125109_00294	P125109_v1_chr	303423	304223	+	801	392
P125109_00295	P125109_v1_chr	304301	305071	+	771	241
P125109_00296	P125109_v1_chr	305127	306347	-	1221	812
P125109_00297	P125109_v1_chr	306566	307321	-	756	246
P125109_00298	P125109_v1_chr	307356	308078	+	723	334
P125109_00299	P125109_v1_chr	308075	308542	-	468	431
P125109_00300	P125109_v1_chr	308597	309337	+	741	6
P125109_00301	P125109_v1_chr	309471	309547	+	77	0
P125109_00302	P125109_v1_chr	309870	310925	-	1056	625
P125109_00303	P125109_v1_chr	310936	311679	-	744	384
P125109_00304	P125109_v1_chr	311736	312008	+	273	899
P125109_00305	P125109_v1_chr	312035	312553	+	519	1344
P125109_00306	P125109_v1_chr	312950	313591	+	642	221
P125109_00307	P125109_v1_chr	313534	316830	+	3297	3823
P125109_00308	P125109_v1_chr	316827	317273	+	447	158
P125109_00309	P125109_v1_chr	317339	317596	-	258	193
P125109_00310	P125109_v1_chr	317778	317840	+	63	305
P125109_00311	P125109_v1_chr	318669	318917	+	249	93
P125109_00312	P125109_v1_chr	318722	319039	+	318	38
P125109_00313	P125109_v1_chr	319072	319503	+	432	2
P125109_00314	P125109_v1_chr	319615	319737	+	123	11
P125109_00315	P125109_v1_chr	319877	320098	+	222	1
P125109_00316	P125109_v1_chr	320165	320407	-	243	260
P125109_00317	P125109_v1_chr	320621	320728	+	108	97
P125109_00318	P125109_v1_chr	320954	321232	+	279	208
P125109_00319	P125109_v1_chr	321995	322492	+	498	143
P125109_00320	P125109_v1_chr	322708	323313	+	606	1376
P125109_00321	P125109_v1_chr	323337	325847	+	2511	2667
P125109_00322	P125109_v1_chr	325869	326339	+	471	227
P125109_00323	P125109_v1_chr	326747	327568	+	822	768
P125109_00324	P125109_v1_chr	327450	328061	-	612	63
P125109_00325	P125109_v1_chr	327693	327908	+	216	0
P125109_00326	P125109_v1_chr	328049	328180	+	132	159
P125109_00327	P125109_v1_chr	328383	329330	+	948	295
P125109_00328	P125109_v1_chr	329450	329665	+	216	251
P125109_00329	P125109_v1_chr	329669	330388	-	720	2747
P125109_00330	P125109_v1_chr	330719	331126	-	408	892
P125109_00331	P125109_v1_chr	331436	332203	-	768	296
P125109_00332	P125109_v1_chr	332312	334756	-	2445	1932
P125109_00333	P125109_v1_chr	334996	335574	+	579	98
P125109_00334	P125109_v1_chr	335787	336554	+	768	1095
P125109_00335	P125109_v1_chr	336525	337265	-	741	320
P125109_00336	P125109_v1_chr	337515	338570	+	1056	3038
P125109_00337	P125109_v1_chr	338675	338722	+	48	92
P125109_00338	P125109_v1_chr	338789	339928	+	1140	1993
P125109_00339	P125109_v1_chr	339925	340539	+	615	374
P125109_00340	P125109_v1_chr	340694	342151	-	1458	510
P125109_00341	P125109_v1_chr	342400	342858	+	459	327
P125109_00342	P125109_v1_chr	342947	344191	+	1245	1431
P125109_00343	P125109_v1_chr	344249	344650	+	402	561
P125109_00344	P125109_v1_chr	344701	345753	-	1053	1624
P125109_00345	P125109_v1_chr	346036	347139	+	1104	885
P125109_00346	P125109_v1_chr	347151	348398	+	1248	648
P125109_00347	P125109_v1_chr	348514	348589	+	76	0
P125109_00348	P125109_v1_chr	348753	349022	+	270	77
P125109_00349	P125109_v1_chr	349035	349436	+	402	258
P125109_00350	P125109_v1_chr	349361	349660	-	300	40
P125109_00351	P125109_v1_chr	349727	350095	+	369	277
P125109_00352	P125109_v1_chr	350040	350168	+	129	107
P125109_00353	P125109_v1_chr	350302	350601	+	300	167
P125109_00354	P125109_v1_chr	350949	352181	+	1233	1377
P125109_00355	P125109_v1_chr	352313	353734	+	1422	1530
P125109_00356	P125109_v1_chr	353736	354362	+	627	156
P125109_00357	P125109_v1_chr	354377	355255	+	879	180
P125109_00358	P125109_v1_chr	355255	356169	+	915	744
P125109_00359	P125109_v1_chr	356177	356256	+	80	0
P125109_00360	P125109_v1_chr	356203	357168	+	966	887
P125109_00361	P125109_v1_chr	357113	357385	-	273	277
P125109_00362	P125109_v1_chr	358077	358475	+	399	40
P125109_00363	P125109_v1_chr	358522	359280	-	759	1041
P125109_00364	P125109_v1_chr	359246	360571	-	1326	2699
P125109_00365	P125109_v1_chr	360576	363137	-	2562	1611
P125109_00366	P125109_v1_chr	363121	363882	-	762	576
P125109_00367	P125109_v1_chr	363944	364480	-	537	1021
P125109_00368	P125109_v1_chr	365143	365877	+	735	239
P125109_00369	P125109_v1_chr	365850	366350	+	501	177
P125109_00370	P125109_v1_chr	366439	366536	+	98	13
P125109_00371	P125109_v1_chr	366652	368226	+	1575	3978
P125109_00372	P125109_v1_chr	368326	369069	+	744	845
P125109_00373	P125109_v1_chr	369042	369530	+	489	190
P125109_00374	P125109_v1_chr	369931	370455	+	525	51
P125109_00375	P125109_v1_chr	370713	371240	+	528	148
P125109_00376	P125109_v1_chr	371251	371475	+	225	366
P125109_00377	P125109_v1_chr	371533	371892	+	360	615
P125109_00378	P125109_v1_chr	371962	373419	-	1458	1396
P125109_00379	P125109_v1_chr	373436	376603	-	3168	1485
P125109_00380	P125109_v1_chr	376600	377826	-	1227	571
P125109_00381	P125109_v1_chr	378103	380406	+	2304	1990
P125109_00382	P125109_v1_chr	380403	380867	+	465	294
P125109_00383	P125109_v1_chr	380945	381139	+	195	24
P125109_00384	P125109_v1_chr	381431	382684	+	1254	837
P125109_00385	P125109_v1_chr	382873	384831	+	1959	3322
P125109_00386	P125109_v1_chr	384841	387813	+	2973	5031
P125109_00387	P125109_v1_chr	388090	388191	+	102	131
P125109_00388	P125109_v1_chr	388308	389711	+	1404	1665
P125109_00389	P125109_v1_chr	389708	390718	+	1011	756
P125109_00390	P125109_v1_chr	390718	390849	+	132	10
P125109_00391	P125109_v1_chr	390735	390960	+	226	80
P125109_00392	P125109_v1_chr	391053	392060	+	1008	729
P125109_00393	P125109_v1_chr	392224	394314	+	2091	1337
P125109_00394	P125109_v1_chr	394355	394987	-	633	738
P125109_00395	P125109_v1_chr	395219	395494	+	276	36
P125109_00396	P125109_v1_chr	395630	397255	-	1626	916
P125109_00397	P125109_v1_chr	397521	398408	+	888	306
P125109_00398	P125109_v1_chr	398439	398521	-	83	222
P125109_00399	P125109_v1_chr	398531	399700	+	1170	600
P125109_00400	P125109_v1_chr	399738	401189	+	1452	607
P125109_00401	P125109_v1_chr	401230	403116	+	1887	374
P125109_00402	P125109_v1_chr	403220	404194	-	975	3
P125109_00403	P125109_v1_chr	404707	407721	+	3015	9726
P125109_00404	P125109_v1_chr	407807	408430	+	624	1149
P125109_00405	P125109_v1_chr	408475	409632	-	1158	2215
P125109_00406	P125109_v1_chr	409979	411199	+	1221	603
P125109_00407	P125109_v1_chr	411214	412308	+	1095	409
P125109_00408	P125109_v1_chr	412346	412654	-	309	70
P125109_00409	P125109_v1_chr	412922	413137	+	216	168
P125109_00410	P125109_v1_chr	413163	414275	-	1113	513
P125109_00411	P125109_v1_chr	414365	415048	+	684	267
P125109_00412	P125109_v1_chr	415217	416428	+	1212	1282
P125109_00413	P125109_v1_chr	416725	416985	+	261	1194
P125109_00414	P125109_v1_chr	417088	417213	-	126	492
P125109_00415	P125109_v1_chr	417334	417654	+	321	266
P125109_00416	P125109_v1_chr	417746	418858	+	1113	656
P125109_00417	P125109_v1_chr	418873	419682	-	810	194
P125109_00418	P125109_v1_chr	419822	420277	+	456	0
P125109_00419	P125109_v1_chr	420462	421007	+	546	807
P125109_00420	P125109_v1_chr	421034	421225	+	192	329
P125109_00421	P125109_v1_chr	421230	421322	+	93	6
P125109_00422	P125109_v1_chr	421476	422153	+	678	853
P125109_00423	P125109_v1_chr	422224	422508	+	285	180
P125109_00424	P125109_v1_chr	422546	423457	-	912	325
P125109_00425	P125109_v1_chr	423583	424491	+	909	655
P125109_00426	P125109_v1_chr	424513	425685	-	1173	686
P125109_00427	P125109_v1_chr	425858	428998	-	3141	1579
P125109_00428	P125109_v1_chr	428995	430197	-	1203	811
P125109_00429	P125109_v1_chr	430412	431101	+	690	343
P125109_00430	P125109_v1_chr	431171	432466	+	1296	691
P125109_00431	P125109_v1_chr	432875	434194	+	1320	920
P125109_00432	P125109_v1_chr	434269	435639	+	1371	596
P125109_00433	P125109_v1_chr	435801	437618	+	1818	664
P125109_00434	P125109_v1_chr	437690	438292	-	603	244
P125109_00435	P125109_v1_chr	438502	439083	-	582	120
P125109_00436	P125109_v1_chr	439177	440241	+	1065	260
P125109_00437	P125109_v1_chr	440438	441565	+	1128	435
P125109_00438	P125109_v1_chr	441588	441920	+	333	25
P125109_00439	P125109_v1_chr	441981	443795	+	1815	8
P125109_00440	P125109_v1_chr	443806	444777	+	972	2
P125109_00441	P125109_v1_chr	444922	445287	+	366	1
P125109_00442	P125109_v1_chr	445313	446005	+	693	346
P125109_00443	P125109_v1_chr	446175	446522	+	348	137
P125109_00444	P125109_v1_chr	446770	447096	-	327	0
P125109_00445	P125109_v1_chr	446804	447067	+	264	0
P125109_00446	P125109_v1_chr	446846	446911	-	66	0
P125109_00447	P125109_v1_chr	447151	448014	-	864	503
P125109_00448	P125109_v1_chr	448314	448853	-	540	630
P125109_00449	P125109_v1_chr	449005	449454	+	450	215
P125109_00450	P125109_v1_chr	449458	450561	+	1104	7
P125109_00451	P125109_v1_chr	450650	451120	+	471	0
P125109_00452	P125109_v1_chr	451141	451560	+	420	2
P125109_00453	P125109_v1_chr	451639	452619	+	981	0
P125109_00454	P125109_v1_chr	452597	453112	+	516	49
P125109_00455	P125109_v1_chr	453216	454190	-	975	505
P125109_00456	P125109_v1_chr	454247	456109	-	1863	6
P125109_00457	P125109_v1_chr	456133	457032	-	900	3
P125109_00458	P125109_v1_chr	457033	457275	-	243	33
P125109_00459	P125109_v1_chr	457485	458933	+	1449	246
P125109_00460	P125109_v1_chr	458977	459774	-	798	949
