# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/P125109_v3_2018.tradis.gff" "-o" "P125109_input_LB_2.deseq.fc.tsv" "P125109_input_LB_2.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	P125109_input_LB_2.deseq.bam
P125109_00365	P125109_v1_chr	360576	363137	-	2562	876
P125109_00366	P125109_v1_chr	363121	363882	-	762	257
P125109_00367	P125109_v1_chr	363944	364480	-	537	417
P125109_00368	P125109_v1_chr	365143	365877	+	735	81
P125109_00369	P125109_v1_chr	365850	366350	+	501	56
P125109_00370	P125109_v1_chr	366439	366536	+	98	5
P125109_00371	P125109_v1_chr	366652	368226	+	1575	1964
P125109_00372	P125109_v1_chr	368326	369069	+	744	379
P125109_00373	P125109_v1_chr	369042	369530	+	489	91
P125109_00374	P125109_v1_chr	369931	370455	+	525	12
P125109_00375	P125109_v1_chr	370713	371240	+	528	48
P125109_00376	P125109_v1_chr	371251	371475	+	225	119
P125109_00377	P125109_v1_chr	371533	371892	+	360	329
P125109_00378	P125109_v1_chr	371962	373419	-	1458	840
P125109_00379	P125109_v1_chr	373436	376603	-	3168	850
P125109_00380	P125109_v1_chr	376600	377826	-	1227	370
P125109_00381	P125109_v1_chr	378103	380406	+	2304	1152
P125109_00382	P125109_v1_chr	380403	380867	+	465	150
P125109_00383	P125109_v1_chr	380945	381139	+	195	8
P125109_00384	P125109_v1_chr	381431	382684	+	1254	517
P125109_00385	P125109_v1_chr	382873	384831	+	1959	1650
P125109_00386	P125109_v1_chr	384841	387813	+	2973	2569
P125109_00387	P125109_v1_chr	388090	388191	+	102	43
P125109_00388	P125109_v1_chr	388308	389711	+	1404	949
P125109_00389	P125109_v1_chr	389708	390718	+	1011	384
P125109_00390	P125109_v1_chr	390718	390849	+	132	8
P125109_00391	P125109_v1_chr	390735	390960	+	226	53
P125109_00392	P125109_v1_chr	391053	392060	+	1008	420
P125109_00393	P125109_v1_chr	392224	394314	+	2091	807
P125109_00394	P125109_v1_chr	394355	394987	-	633	340
P125109_00395	P125109_v1_chr	395219	395494	+	276	28
P125109_00396	P125109_v1_chr	395630	397255	-	1626	522
P125109_00397	P125109_v1_chr	397521	398408	+	888	199
P125109_00398	P125109_v1_chr	398439	398521	-	83	109
P125109_00399	P125109_v1_chr	398531	399700	+	1170	335
P125109_00400	P125109_v1_chr	399738	401189	+	1452	339
P125109_00401	P125109_v1_chr	401230	403116	+	1887	191
P125109_00402	P125109_v1_chr	403220	404194	-	975	2
P125109_00403	P125109_v1_chr	404707	407721	+	3015	5521
P125109_00404	P125109_v1_chr	407807	408430	+	624	531
P125109_00405	P125109_v1_chr	408475	409632	-	1158	1149
P125109_00406	P125109_v1_chr	409979	411199	+	1221	285
P125109_00407	P125109_v1_chr	411214	412308	+	1095	225
P125109_00408	P125109_v1_chr	412346	412654	-	309	32
P125109_00409	P125109_v1_chr	412922	413137	+	216	85
P125109_00410	P125109_v1_chr	413163	414275	-	1113	293
P125109_00411	P125109_v1_chr	414365	415048	+	684	152
P125109_00412	P125109_v1_chr	415217	416428	+	1212	713
P125109_00413	P125109_v1_chr	416725	416985	+	261	712
P125109_00414	P125109_v1_chr	417088	417213	-	126	243
P125109_00415	P125109_v1_chr	417334	417654	+	321	148
P125109_00416	P125109_v1_chr	417746	418858	+	1113	389
P125109_00417	P125109_v1_chr	418873	419682	-	810	134
P125109_00418	P125109_v1_chr	419822	420277	+	456	0
P125109_00419	P125109_v1_chr	420462	421007	+	546	463
P125109_00420	P125109_v1_chr	421034	421225	+	192	188
P125109_00421	P125109_v1_chr	421230	421322	+	93	6
P125109_00422	P125109_v1_chr	421476	422153	+	678	415
P125109_00423	P125109_v1_chr	422224	422508	+	285	108
P125109_00424	P125109_v1_chr	422546	423457	-	912	196
P125109_00425	P125109_v1_chr	423583	424491	+	909	408
P125109_00426	P125109_v1_chr	424513	425685	-	1173	313
P125109_00427	P125109_v1_chr	425858	428998	-	3141	928
P125109_00428	P125109_v1_chr	428995	430197	-	1203	438
P125109_00429	P125109_v1_chr	430412	431101	+	690	194
P125109_00430	P125109_v1_chr	431171	432466	+	1296	421
P125109_00431	P125109_v1_chr	432875	434194	+	1320	518
P125109_00432	P125109_v1_chr	434269	435639	+	1371	361
P125109_00433	P125109_v1_chr	435801	437618	+	1818	390
P125109_00434	P125109_v1_chr	437690	438292	-	603	127
P125109_00435	P125109_v1_chr	438502	439083	-	582	72
P125109_00436	P125109_v1_chr	439177	440241	+	1065	151
P125109_00437	P125109_v1_chr	440438	441565	+	1128	248
P125109_00438	P125109_v1_chr	441588	441920	+	333	13
P125109_00439	P125109_v1_chr	441981	443795	+	1815	1
P125109_00440	P125109_v1_chr	443806	444777	+	972	0
P125109_00441	P125109_v1_chr	444922	445287	+	366	0
P125109_00442	P125109_v1_chr	445313	446005	+	693	194
P125109_00443	P125109_v1_chr	446175	446522	+	348	89
P125109_00444	P125109_v1_chr	446770	447096	-	327	0
P125109_00445	P125109_v1_chr	446804	447067	+	264	0
P125109_00446	P125109_v1_chr	446846	446911	-	66	0
P125109_00447	P125109_v1_chr	447151	448014	-	864	256
P125109_00448	P125109_v1_chr	448314	448853	-	540	324
P125109_00449	P125109_v1_chr	449005	449454	+	450	101
P125109_00450	P125109_v1_chr	449458	450561	+	1104	2
P125109_00451	P125109_v1_chr	450650	451120	+	471	0
P125109_00452	P125109_v1_chr	451141	451560	+	420	0
P125109_00453	P125109_v1_chr	451639	452619	+	981	0
P125109_00454	P125109_v1_chr	452597	453112	+	516	23
P125109_00455	P125109_v1_chr	453216	454190	-	975	309
P125109_00456	P125109_v1_chr	454247	456109	-	1863	0
P125109_00457	P125109_v1_chr	456133	457032	-	900	0
P125109_00458	P125109_v1_chr	457033	457275	-	243	16
P125109_00459	P125109_v1_chr	457485	458933	+	1449	147
P125109_00460	P125109_v1_chr	458977	459774	-	798	510
P125109_00461	P125109_v1_chr	459768	460637	-	870	290
P125109_00462	P125109_v1_chr	460640	461749	-	1110	573
