# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/P125109_v3_2018.ess_90.gff" "-o" "P125109_output_MAC.ess.fc.tsv" "P125109_output_MAC.ess.bam" 
Geneid	Chr	Start	End	Strand	Length	P125109_output_MAC.ess.bam
P125109_00166	P125109_v1_chr	166894	167976	-	1083	42
P125109_00167	P125109_v1_chr	168104	169351	-	1248	42
P125109_00168	P125109_v1_chr	169404	169798	-	395	9
P125109_00169	P125109_v1_chr	170109	170913	-	805	21
P125109_00170	P125109_v1_chr	171001	171508	+	508	20
P125109_00171	P125109_v1_chr	171561	172330	+	770	23
P125109_00172	P125109_v1_chr	172602	173457	-	856	14
P125109_00173	P125109_v1_chr	173597	174863	-	1267	28
P125109_00174	P125109_v1_chr	175164	176397	-	1234	48
P125109_00175	P125109_v1_chr	176963	177651	+	689	20
P125109_00176	P125109_v1_chr	177744	177885	-	142	0
P125109_00177	P125109_v1_chr	177887	180284	+	2398	9
P125109_00178	P125109_v1_chr	180565	182260	+	1696	6
P125109_00179	P125109_v1_chr	182650	183932	+	1283	2
P125109_00180	P125109_v1_chr	184363	184619	+	257	3
P125109_00181	P125109_v1_chr	184764	185476	-	713	14
P125109_00182	P125109_v1_chr	185651	187111	-	1461	26
P125109_00183	P125109_v1_chr	187500	189838	+	2339	40
P125109_00184	P125109_v1_chr	190183	190601	-	419	52
P125109_00185	P125109_v1_chr	191051	191342	-	292	54
P125109_00186	P125109_v1_chr	191613	191939	+	327	17
P125109_00187	P125109_v1_chr	192210	193068	+	859	15
P125109_00188	P125109_v1_chr	193160	194304	+	1145	13
P125109_00189	P125109_v1_chr	194421	195306	+	886	26
P125109_00190	P125109_v1_chr	195414	196105	+	692	27
P125109_00191	P125109_v1_chr	196290	197005	-	716	29
P125109_00192	P125109_v1_chr	197112	197886	-	775	17
P125109_00193	P125109_v1_chr	198031	198379	-	349	6
P125109_00194	P125109_v1_chr	198542	199991	+	1450	36
P125109_00195	P125109_v1_chr	200469	202620	-	2152	72
P125109_00196	P125109_v1_chr	202826	203309	+	484	2
P125109_00197	P125109_v1_chr	203486	204082	-	597	0
P125109_00198	P125109_v1_chr	204191	205025	+	835	20
P125109_00199	P125109_v1_chr	205114	205807	+	694	24
P125109_00200	P125109_v1_chr	206112	207083	-	972	53
P125109_00201	P125109_v1_chr	207347	209650	-	2304	63
P125109_00202	P125109_v1_chr	209733	210348	-	616	32
P125109_00203	P125109_v1_chr	210450	210935	-	486	55
P125109_00204	P125109_v1_chr	211305	211701	+	397	46
P125109_00205	P125109_v1_chr	211807	212913	+	1107	56
P125109_00206	P125109_v1_chr	211894	211987	-	94	0
P125109_00207	P125109_v1_chr	213081	213423	-	343	10
P125109_00208	P125109_v1_chr	213603	214372	-	770	27
P125109_00209	P125109_v1_chr	214577	215289	-	713	14
P125109_00210	P125109_v1_chr	215458	215889	-	432	2
P125109_00211	P125109_v1_chr	216027	217304	-	1278	40
P125109_00212	P125109_v1_chr	217539	218386	-	848	29
P125109_00213	P125109_v1_chr	218455	218865	-	411	2
P125109_00214	P125109_v1_chr	219112	219746	-	635	34
P125109_00215	P125109_v1_chr	219816	220293	-	478	21
P125109_00216	P125109_v1_chr	220321	222548	+	2228	80
P125109_00217	P125109_v1_chr	222936	225206	+	2271	78
P125109_00218	P125109_v1_chr	225489	225692	-	204	8
P125109_00219	P125109_v1_chr	225751	227770	+	2020	64
P125109_00220	P125109_v1_chr	228043	228761	+	719	13
P125109_00221	P125109_v1_chr	228840	229641	+	802	11
P125109_00222	P125109_v1_chr	229727	231579	+	1853	35
P125109_00223	P125109_v1_chr	231821	232007	+	187	12
P125109_00224	P125109_v1_chr	232721	233225	+	505	64
P125109_00225	P125109_v1_chr	233367	235759	+	2393	160
P125109_00226	P125109_v1_chr	236042	236719	+	678	16
P125109_00227	P125109_v1_chr	236813	237274	+	462	20
P125109_00228	P125109_v1_chr	237322	237751	+	430	7
P125109_00229	P125109_v1_chr	237798	238275	+	478	10
P125109_00230	P125109_v1_chr	238325	239083	+	759	18
P125109_00231	P125109_v1_chr	239159	239247	+	89	2
P125109_00232	P125109_v1_chr	239403	240555	-	1153	2
P125109_00233	P125109_v1_chr	240725	242004	+	1280	40
P125109_00234	P125109_v1_chr	242228	242538	+	311	1
P125109_00235	P125109_v1_chr	242735	243296	-	562	27
P125109_00236	P125109_v1_chr	243413	244133	-	721	12
P125109_00237	P125109_v1_chr	244195	244824	-	630	1
P125109_00238	P125109_v1_chr	244909	246275	+	1367	183
P125109_00239	P125109_v1_chr	246556	247841	+	1286	41
P125109_00240	P125109_v1_chr	247906	248011	+	106	6
P125109_00241	P125109_v1_chr	248136	249178	+	1043	33
P125109_00242	P125109_v1_chr	249653	252382	-	2730	107
P125109_00243	P125109_v1_chr	252606	252954	-	349	19
P125109_00244	P125109_v1_chr	253201	254372	+	1172	67
P125109_00245	P125109_v1_chr	254407	254516	+	110	1
P125109_00246	P125109_v1_chr	254621	255363	-	743	2
P125109_00247	P125109_v1_chr	255660	258065	-	2406	5
P125109_00248	P125109_v1_chr	258382	259097	-	716	0
P125109_00249	P125109_v1_chr	259381	259506	+	126	1
P125109_00250	P125109_v1_chr	259548	260201	+	654	3
P125109_00251	P125109_v1_chr	260459	261290	+	832	3
P125109_00252	P125109_v1_chr	261527	262180	+	654	1
P125109_00253	P125109_v1_chr	262399	262901	+	503	0
P125109_00254	P125109_v1_chr	262980	263039	+	60	0
P125109_00255	P125109_v1_chr	263097	264174	+	1078	2
P125109_00256	P125109_v1_chr	264371	264415	+	45	0
P125109_00257	P125109_v1_chr	264606	265289	+	684	2
P125109_00258	P125109_v1_chr	265377	266149	+	773	4
P125109_00259	P125109_v1_chr	266246	267463	+	1218	1
P125109_00260	P125109_v1_chr	267630	269803	+	2174	2
P125109_00261	P125109_v1_chr	270167	270604	+	438	7
P125109_00262	P125109_v1_chr	270656	271579	+	924	0
P125109_00263	P125109_v1_chr	271787	272197	+	411	1
P125109_00264	P125109_v1_chr	272246	272956	+	711	0
P125109_00265	P125109_v1_chr	273034	274068	+	1035	6
P125109_00266	P125109_v1_chr	274179	274716	+	538	10
P125109_00267	P125109_v1_chr	274799	277933	+	3135	10
P125109_00268	P125109_v1_chr	278294	279157	+	864	3
P125109_00269	P125109_v1_chr	279433	281020	+	1588	20
P125109_00270	P125109_v1_chr	281272	283199	+	1928	40
P125109_00271	P125109_v1_chr	283469	283819	+	351	15
P125109_00272	P125109_v1_chr	283921	285084	+	1164	2
P125109_00273	P125109_v1_chr	285323	285557	-	235	4
P125109_00274	P125109_v1_chr	285564	285744	-	181	4
P125109_00275	P125109_v1_chr	285942	286433	+	492	14
P125109_00276	P125109_v1_chr	286484	286864	+	381	5
P125109_00277	P125109_v1_chr	286938	287569	+	632	18
P125109_00278	P125109_v1_chr	287884	289431	-	1548	1
P125109_00279	P125109_v1_chr	289612	290249	-	638	28
P125109_00280	P125109_v1_chr	290286	290650	-	365	36
P125109_00281	P125109_v1_chr	290850	291584	-	735	29
P125109_00282	P125109_v1_chr	291688	292276	-	589	42
P125109_00283	P125109_v1_chr	292372	293300	-	929	36
P125109_00284	P125109_v1_chr	293490	294000	+	511	2
P125109_00285	P125109_v1_chr	294430	295814	+	1385	223
P125109_00286	P125109_v1_chr	296038	296107	+	70	7
P125109_00287	P125109_v1_chr	296226	296294	+	69	19
P125109_00288	P125109_v1_chr	296486	299223	+	2738	363
P125109_00289	P125109_v1_chr	299727	299826	+	100	7
P125109_00290	P125109_v1_chr	300032	300101	+	70	0
P125109_00291	P125109_v1_chr	300273	300996	+	724	15
P125109_00292	P125109_v1_chr	301188	302011	-	824	14
P125109_00293	P125109_v1_chr	302116	303174	+	1059	28
P125109_00294	P125109_v1_chr	303423	304143	+	721	19
P125109_00295	P125109_v1_chr	304301	304994	+	694	9
P125109_00296	P125109_v1_chr	305249	306347	-	1099	26
P125109_00297	P125109_v1_chr	306641	307321	-	681	12
P125109_00298	P125109_v1_chr	307356	308006	+	651	16
P125109_00299	P125109_v1_chr	308121	308542	-	422	7
P125109_00300	P125109_v1_chr	308597	309263	+	667	3
P125109_00301	P125109_v1_chr	309471	309540	+	70	0
P125109_00302	P125109_v1_chr	309975	310925	-	951	20
P125109_00303	P125109_v1_chr	311010	311679	-	670	16
P125109_00304	P125109_v1_chr	311736	311981	+	246	17
P125109_00305	P125109_v1_chr	312035	312502	+	468	55
P125109_00306	P125109_v1_chr	312950	313527	+	578	7
P125109_00307	P125109_v1_chr	313534	316501	+	2968	109
P125109_00308	P125109_v1_chr	316827	317229	+	403	21
P125109_00309	P125109_v1_chr	317364	317596	-	233	17
P125109_00310	P125109_v1_chr	317778	317834	+	57	12
P125109_00311	P125109_v1_chr	318669	318893	+	225	9
P125109_00312	P125109_v1_chr	318722	319008	+	287	4
P125109_00313	P125109_v1_chr	319072	319460	+	389	0
P125109_00314	P125109_v1_chr	319615	319725	+	111	0
P125109_00315	P125109_v1_chr	319877	320076	+	200	0
P125109_00316	P125109_v1_chr	320189	320407	-	219	18
P125109_00317	P125109_v1_chr	320621	320718	+	98	5
P125109_00318	P125109_v1_chr	320954	321205	+	252	11
P125109_00319	P125109_v1_chr	321995	322443	+	449	6
P125109_00320	P125109_v1_chr	322708	323253	+	546	50
P125109_00321	P125109_v1_chr	323337	325596	+	2260	89
P125109_00322	P125109_v1_chr	325869	326292	+	424	7
P125109_00323	P125109_v1_chr	326747	327486	+	740	54
P125109_00324	P125109_v1_chr	327511	328061	-	551	11
P125109_00325	P125109_v1_chr	327693	327887	+	195	0
P125109_00326	P125109_v1_chr	328049	328167	+	119	5
P125109_00327	P125109_v1_chr	328383	329236	+	854	17
P125109_00328	P125109_v1_chr	329450	329644	+	195	10
P125109_00329	P125109_v1_chr	329741	330388	-	648	110
P125109_00330	P125109_v1_chr	330759	331126	-	368	30
P125109_00331	P125109_v1_chr	331512	332203	-	692	14
P125109_00332	P125109_v1_chr	332556	334756	-	2201	70
P125109_00333	P125109_v1_chr	334996	335517	+	522	1
P125109_00334	P125109_v1_chr	335787	336478	+	692	37
P125109_00335	P125109_v1_chr	336599	337265	-	667	14
P125109_00336	P125109_v1_chr	337515	338465	+	951	95
P125109_00337	P125109_v1_chr	338675	338718	+	44	5
P125109_00338	P125109_v1_chr	338789	339814	+	1026	68
P125109_00339	P125109_v1_chr	339925	340478	+	554	15
P125109_00340	P125109_v1_chr	340839	342151	-	1313	27
P125109_00341	P125109_v1_chr	342400	342813	+	414	7
P125109_00342	P125109_v1_chr	342947	344067	+	1121	49
P125109_00343	P125109_v1_chr	344249	344610	+	362	11
P125109_00344	P125109_v1_chr	344806	345753	-	948	70
P125109_00345	P125109_v1_chr	346036	347029	+	994	33
P125109_00346	P125109_v1_chr	347151	348274	+	1124	24
P125109_00347	P125109_v1_chr	348514	348582	+	69	0
P125109_00348	P125109_v1_chr	348753	348995	+	243	3
P125109_00349	P125109_v1_chr	349035	349396	+	362	11
P125109_00350	P125109_v1_chr	349391	349660	-	270	7
P125109_00351	P125109_v1_chr	349727	350059	+	333	14
P125109_00352	P125109_v1_chr	350040	350156	+	117	2
P125109_00353	P125109_v1_chr	350302	350571	+	270	7
P125109_00354	P125109_v1_chr	350949	352058	+	1110	79
P125109_00355	P125109_v1_chr	352313	353592	+	1280	65
P125109_00356	P125109_v1_chr	353736	354300	+	565	7
P125109_00357	P125109_v1_chr	354377	355168	+	792	7
P125109_00358	P125109_v1_chr	355255	356078	+	824	20
P125109_00359	P125109_v1_chr	356177	356248	+	72	0
P125109_00360	P125109_v1_chr	356203	357072	+	870	35
P125109_00361	P125109_v1_chr	357140	357385	-	246	20
P125109_00362	P125109_v1_chr	358077	358436	+	360	2
P125109_00363	P125109_v1_chr	358597	359280	-	684	67
P125109_00364	P125109_v1_chr	359378	360571	-	1194	120
P125109_00365	P125109_v1_chr	360832	363137	-	2306	60
P125109_00366	P125109_v1_chr	363197	363882	-	686	21
P125109_00367	P125109_v1_chr	363997	364480	-	484	38
P125109_00368	P125109_v1_chr	365143	365804	+	662	17
P125109_00369	P125109_v1_chr	365850	366300	+	451	1
P125109_00370	P125109_v1_chr	366439	366527	+	89	1
P125109_00371	P125109_v1_chr	366652	368069	+	1418	168
P125109_00372	P125109_v1_chr	368326	368995	+	670	56
P125109_00373	P125109_v1_chr	369042	369482	+	441	12
P125109_00374	P125109_v1_chr	369931	370403	+	473	1
P125109_00375	P125109_v1_chr	370713	371188	+	476	15
P125109_00376	P125109_v1_chr	371251	371453	+	203	20
P125109_00377	P125109_v1_chr	371533	371856	+	324	24
P125109_00378	P125109_v1_chr	372107	373419	-	1313	30
P125109_00379	P125109_v1_chr	373752	376603	-	2852	73
P125109_00380	P125109_v1_chr	376722	377826	-	1105	14
P125109_00381	P125109_v1_chr	378103	380176	+	2074	54
P125109_00382	P125109_v1_chr	380403	380821	+	419	10
P125109_00383	P125109_v1_chr	380945	381120	+	176	2
P125109_00384	P125109_v1_chr	381431	382559	+	1129	39
P125109_00385	P125109_v1_chr	382873	384636	+	1764	121
P125109_00386	P125109_v1_chr	384841	387516	+	2676	168
P125109_00387	P125109_v1_chr	388090	388181	+	92	15
P125109_00388	P125109_v1_chr	388308	389571	+	1264	58
P125109_00389	P125109_v1_chr	389708	390617	+	910	29
P125109_00390	P125109_v1_chr	390718	390836	+	119	1
P125109_00391	P125109_v1_chr	390735	390938	+	204	4
P125109_00392	P125109_v1_chr	391053	391960	+	908	26
P125109_00393	P125109_v1_chr	392224	394105	+	1882	54
P125109_00394	P125109_v1_chr	394418	394987	-	570	33
P125109_00395	P125109_v1_chr	395219	395467	+	249	5
P125109_00396	P125109_v1_chr	395792	397255	-	1464	32
P125109_00397	P125109_v1_chr	397521	398320	+	800	13
P125109_00398	P125109_v1_chr	398447	398521	-	75	7
P125109_00399	P125109_v1_chr	398531	399583	+	1053	16
P125109_00400	P125109_v1_chr	399738	401044	+	1307	21
P125109_00401	P125109_v1_chr	401230	402928	+	1699	23
P125109_00402	P125109_v1_chr	403317	404194	-	878	1
P125109_00403	P125109_v1_chr	404707	407420	+	2714	298
P125109_00404	P125109_v1_chr	407807	408368	+	562	57
P125109_00405	P125109_v1_chr	408590	409632	-	1043	63
P125109_00406	P125109_v1_chr	409979	411077	+	1099	32
P125109_00407	P125109_v1_chr	411214	412199	+	986	25
P125109_00408	P125109_v1_chr	412376	412654	-	279	2
P125109_00409	P125109_v1_chr	412922	413116	+	195	7
P125109_00410	P125109_v1_chr	413274	414275	-	1002	25
P125109_00411	P125109_v1_chr	414365	414980	+	616	16
P125109_00412	P125109_v1_chr	415217	416307	+	1091	51
P125109_00413	P125109_v1_chr	416725	416959	+	235	47
P125109_00414	P125109_v1_chr	417100	417213	-	114	17
P125109_00415	P125109_v1_chr	417334	417622	+	289	9
P125109_00416	P125109_v1_chr	417746	418747	+	1002	24
P125109_00417	P125109_v1_chr	418954	419682	-	729	10
P125109_00418	P125109_v1_chr	419822	420232	+	411	2
P125109_00419	P125109_v1_chr	420462	420953	+	492	24
P125109_00420	P125109_v1_chr	421034	421206	+	173	10
P125109_00421	P125109_v1_chr	421230	421313	+	84	1
P125109_00422	P125109_v1_chr	421476	422086	+	611	34
P125109_00423	P125109_v1_chr	422224	422480	+	257	6
P125109_00424	P125109_v1_chr	422637	423457	-	821	22
P125109_00425	P125109_v1_chr	423583	424401	+	819	17
P125109_00426	P125109_v1_chr	424630	425685	-	1056	21
P125109_00427	P125109_v1_chr	426172	428998	-	2827	59
P125109_00428	P125109_v1_chr	429115	430197	-	1083	22
P125109_00429	P125109_v1_chr	430412	431032	+	621	17
P125109_00430	P125109_v1_chr	431171	432337	+	1167	29
P125109_00431	P125109_v1_chr	432875	434062	+	1188	39
P125109_00432	P125109_v1_chr	434269	435502	+	1234	22
P125109_00433	P125109_v1_chr	435801	437437	+	1637	27
P125109_00434	P125109_v1_chr	437750	438292	-	543	14
P125109_00435	P125109_v1_chr	438560	439083	-	524	9
P125109_00436	P125109_v1_chr	439177	440135	+	959	12
P125109_00437	P125109_v1_chr	440438	441453	+	1016	18
P125109_00438	P125109_v1_chr	441588	441887	+	300	0
P125109_00439	P125109_v1_chr	441981	443614	+	1634	2
P125109_00440	P125109_v1_chr	443806	444680	+	875	1
P125109_00441	P125109_v1_chr	444922	445251	+	330	2
P125109_00442	P125109_v1_chr	445313	445936	+	624	6
P125109_00443	P125109_v1_chr	446175	446488	+	314	7
P125109_00444	P125109_v1_chr	446802	447096	-	295	1
P125109_00445	P125109_v1_chr	446804	447041	+	238	0
P125109_00446	P125109_v1_chr	446852	446911	-	60	0
P125109_00447	P125109_v1_chr	447237	448014	-	778	19
P125109_00448	P125109_v1_chr	448368	448853	-	486	16
P125109_00449	P125109_v1_chr	449005	449409	+	405	10
P125109_00450	P125109_v1_chr	449458	450451	+	994	2
P125109_00451	P125109_v1_chr	450650	451073	+	424	1
P125109_00452	P125109_v1_chr	451141	451518	+	378	1
P125109_00453	P125109_v1_chr	451639	452521	+	883	1
P125109_00454	P125109_v1_chr	452597	453061	+	465	8
P125109_00455	P125109_v1_chr	453313	454190	-	878	19
P125109_00456	P125109_v1_chr	454433	456109	-	1677	1
P125109_00457	P125109_v1_chr	456223	457032	-	810	0
P125109_00458	P125109_v1_chr	457057	457275	-	219	5
P125109_00459	P125109_v1_chr	457485	458789	+	1305	18
P125109_00460	P125109_v1_chr	459056	459774	-	719	30
P125109_00461	P125109_v1_chr	459855	460637	-	783	18
P125109_00462	P125109_v1_chr	460751	461749	-	999	29
P125109_00463	P125109_v1_chr	461856	462768	-	913	15
P125109_00464	P125109_v1_chr	463038	463685	-	648	22
P125109_00465	P125109_v1_chr	463825	464818	+	994	13
