# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/D7795_v3_2018.ess_90.gff" "-o" "D7795_input_LB.ess.fc.tsv" "D7795_input_LB.ess.bam" 
Geneid	Chr	Start	End	Strand	Length	D7795_input_LB.ess.bam
D7795_00283	D7795_v1_chr	291829	292417	-	589	20
D7795_00284	D7795_v1_chr	292513	293441	-	929	19
D7795_00285	D7795_v1_chr	293631	294141	+	511	3
D7795_00286	D7795_v1_chr	294571	295953	+	1383	100
D7795_00287	D7795_v1_chr	296177	296246	+	70	7
D7795_00288	D7795_v1_chr	296365	296433	+	69	0
D7795_00289	D7795_v1_chr	296625	299236	+	2612	252
D7795_00290	D7795_v1_chr	299727	299826	+	100	1
D7795_00291	D7795_v1_chr	300032	300101	+	70	0
D7795_00292	D7795_v1_chr	300273	300996	+	724	13
D7795_00293	D7795_v1_chr	301188	302011	-	824	8
D7795_00294	D7795_v1_chr	302116	303174	+	1059	2
D7795_00295	D7795_v1_chr	303423	304143	+	721	11
D7795_00296	D7795_v1_chr	304301	304994	+	694	1
D7795_00297	D7795_v1_chr	305249	306347	-	1099	28
D7795_00298	D7795_v1_chr	306641	307321	-	681	12
D7795_00299	D7795_v1_chr	307356	308006	+	651	10
D7795_00300	D7795_v1_chr	308121	308542	-	422	10
D7795_00301	D7795_v1_chr	308597	309263	+	667	0
D7795_00302	D7795_v1_chr	309471	309540	+	70	2
D7795_00303	D7795_v1_chr	309975	310925	-	951	13
D7795_00304	D7795_v1_chr	311010	311679	-	670	5
D7795_00305	D7795_v1_chr	311736	311981	+	246	20
D7795_00306	D7795_v1_chr	312035	312502	+	468	33
D7795_00307	D7795_v1_chr	312950	313527	+	578	8
D7795_00308	D7795_v1_chr	313534	316501	+	2968	77
D7795_00309	D7795_v1_chr	316827	317229	+	403	7
D7795_00310	D7795_v1_chr	317364	317596	-	233	21
D7795_00311	D7795_v1_chr	317778	317834	+	57	5
D7795_00312	D7795_v1_chr	318669	318893	+	225	5
D7795_00313	D7795_v1_chr	318722	319008	+	287	5
D7795_00314	D7795_v1_chr	319072	319460	+	389	0
D7795_00315	D7795_v1_chr	319615	319725	+	111	3
D7795_00316	D7795_v1_chr	319877	320076	+	200	1
D7795_00317	D7795_v1_chr	320189	320407	-	219	19
D7795_00318	D7795_v1_chr	320621	320718	+	98	5
D7795_00319	D7795_v1_chr	320954	321205	+	252	13
D7795_00320	D7795_v1_chr	321995	322443	+	449	26
D7795_00321	D7795_v1_chr	322708	323253	+	546	31
D7795_00322	D7795_v1_chr	323337	325596	+	2260	62
D7795_00323	D7795_v1_chr	325869	326292	+	424	8
D7795_00324	D7795_v1_chr	326747	327486	+	740	36
D7795_00325	D7795_v1_chr	327511	328061	-	551	11
D7795_00326	D7795_v1_chr	327693	327887	+	195	0
D7795_00327	D7795_v1_chr	328049	328167	+	119	13
D7795_00328	D7795_v1_chr	328383	329236	+	854	39
D7795_00329	D7795_v1_chr	329450	329644	+	195	12
D7795_00330	D7795_v1_chr	329741	330388	-	648	74
D7795_00331	D7795_v1_chr	330759	331126	-	368	25
D7795_00332	D7795_v1_chr	331512	332203	-	692	12
D7795_00333	D7795_v1_chr	332556	334756	-	2201	46
D7795_00334	D7795_v1_chr	334996	335517	+	522	5
D7795_00335	D7795_v1_chr	335787	336478	+	692	18
D7795_00336	D7795_v1_chr	336599	337265	-	667	17
D7795_00337	D7795_v1_chr	337515	338465	+	951	74
D7795_00338	D7795_v1_chr	338675	338718	+	44	3
D7795_00339	D7795_v1_chr	338789	339814	+	1026	28
D7795_00340	D7795_v1_chr	339925	340478	+	554	6
D7795_00341	D7795_v1_chr	340839	342151	-	1313	21
D7795_00342	D7795_v1_chr	342400	342813	+	414	11
D7795_00343	D7795_v1_chr	342947	344067	+	1121	16
D7795_00344	D7795_v1_chr	344249	344610	+	362	10
D7795_00345	D7795_v1_chr	344806	345753	-	948	44
D7795_00346	D7795_v1_chr	346036	347029	+	994	15
D7795_00347	D7795_v1_chr	347151	348274	+	1124	13
D7795_00348	D7795_v1_chr	348514	348582	+	69	0
D7795_00349	D7795_v1_chr	348753	348995	+	243	2
D7795_00350	D7795_v1_chr	349035	349396	+	362	5
D7795_00351	D7795_v1_chr	349391	349660	-	270	9
D7795_00352	D7795_v1_chr	349727	350059	+	333	8
D7795_00353	D7795_v1_chr	350040	350156	+	117	3
D7795_00354	D7795_v1_chr	350302	350571	+	270	5
D7795_00355	D7795_v1_chr	350949	352058	+	1110	75
D7795_00356	D7795_v1_chr	352313	353592	+	1280	51
D7795_00357	D7795_v1_chr	353736	354300	+	565	10
D7795_00358	D7795_v1_chr	354377	355168	+	792	11
D7795_00359	D7795_v1_chr	355255	356078	+	824	7
D7795_00360	D7795_v1_chr	356177	356248	+	72	0
D7795_00361	D7795_v1_chr	356203	357072	+	870	31
D7795_00362	D7795_v1_chr	357140	357385	-	246	10
D7795_00363	D7795_v1_chr	358077	358436	+	360	8
D7795_00364	D7795_v1_chr	358597	359280	-	684	59
D7795_00365	D7795_v1_chr	359378	360571	-	1194	74
D7795_00366	D7795_v1_chr	360832	363137	-	2306	32
D7795_00367	D7795_v1_chr	363197	363882	-	686	43
D7795_00368	D7795_v1_chr	363997	364480	-	484	51
D7795_00369	D7795_v1_chr	365143	365804	+	662	20
D7795_00370	D7795_v1_chr	365850	366300	+	451	19
D7795_00371	D7795_v1_chr	366439	366527	+	89	2
D7795_00372	D7795_v1_chr	366652	368069	+	1418	135
D7795_00373	D7795_v1_chr	368326	368995	+	670	55
D7795_00374	D7795_v1_chr	369042	369482	+	441	14
D7795_00375	D7795_v1_chr	369931	370403	+	473	15
D7795_00376	D7795_v1_chr	370713	371188	+	476	23
D7795_00377	D7795_v1_chr	371251	371453	+	203	19
D7795_00378	D7795_v1_chr	371533	371856	+	324	24
D7795_00379	D7795_v1_chr	372107	373419	-	1313	14
D7795_00380	D7795_v1_chr	373752	376603	-	2852	59
D7795_00381	D7795_v1_chr	376722	377826	-	1105	15
D7795_00382	D7795_v1_chr	378103	378853	+	751	3
D7795_00383	D7795_v1_chr	378933	380258	+	1326	29
D7795_00384	D7795_v1_chr	380402	380820	+	419	14
D7795_00385	D7795_v1_chr	380944	381119	+	176	1
D7795_00386	D7795_v1_chr	381193	381295	-	103	0
D7795_00387	D7795_v1_chr	381430	382558	+	1129	26
D7795_00388	D7795_v1_chr	382872	384635	+	1764	50
D7795_00389	D7795_v1_chr	384840	387515	+	2676	116
D7795_00390	D7795_v1_chr	388089	388180	+	92	5
D7795_00391	D7795_v1_chr	388307	389570	+	1264	35
D7795_00392	D7795_v1_chr	389707	390616	+	910	12
D7795_00393	D7795_v1_chr	390717	390835	+	119	0
D7795_00394	D7795_v1_chr	390734	390937	+	204	4
D7795_00395	D7795_v1_chr	391052	391959	+	908	14
D7795_00396	D7795_v1_chr	392223	394104	+	1882	38
D7795_00397	D7795_v1_chr	394417	394986	-	570	14
D7795_00398	D7795_v1_chr	395218	395466	+	249	6
D7795_00399	D7795_v1_chr	395791	397254	-	1464	29
D7795_00400	D7795_v1_chr	397520	398319	+	800	13
D7795_00401	D7795_v1_chr	398446	398520	-	75	3
D7795_00402	D7795_v1_chr	398530	399582	+	1053	14
D7795_00403	D7795_v1_chr	399737	401043	+	1307	29
D7795_00404	D7795_v1_chr	401229	402643	+	1415	28
D7795_00405	D7795_v1_chr	402919	404287	+	1369	37
D7795_00406	D7795_v1_chr	404426	405095	+	670	14
D7795_00407	D7795_v1_chr	405253	405533	+	281	0
D7795_00408	D7795_v1_chr	405765	406642	-	878	0
D7795_00409	D7795_v1_chr	407155	409868	+	2714	193
D7795_00410	D7795_v1_chr	410255	410816	+	562	57
D7795_00411	D7795_v1_chr	411038	412080	-	1043	46
D7795_00412	D7795_v1_chr	412427	413525	+	1099	17
D7795_00413	D7795_v1_chr	413662	414647	+	986	22
D7795_00414	D7795_v1_chr	414824	415102	-	279	6
D7795_00415	D7795_v1_chr	415370	415564	+	195	4
D7795_00416	D7795_v1_chr	415722	416723	-	1002	19
D7795_00417	D7795_v1_chr	416813	417428	+	616	10
D7795_00418	D7795_v1_chr	417665	418755	+	1091	23
D7795_00419	D7795_v1_chr	419173	419407	+	235	26
D7795_00420	D7795_v1_chr	419548	419661	-	114	17
D7795_00421	D7795_v1_chr	419782	420070	+	289	6
D7795_00422	D7795_v1_chr	420194	421195	+	1002	21
D7795_00423	D7795_v1_chr	421402	422130	-	729	10
D7795_00424	D7795_v1_chr	422270	422680	+	411	4
D7795_00425	D7795_v1_chr	422910	423401	+	492	13
D7795_00426	D7795_v1_chr	423482	423654	+	173	5
D7795_00427	D7795_v1_chr	423678	423761	+	84	8
D7795_00428	D7795_v1_chr	423924	424534	+	611	14
D7795_00429	D7795_v1_chr	424672	424928	+	257	4
D7795_00430	D7795_v1_chr	425085	425905	-	821	10
D7795_00431	D7795_v1_chr	426031	426849	+	819	21
D7795_00432	D7795_v1_chr	427078	428133	-	1056	20
D7795_00433	D7795_v1_chr	428620	431446	-	2827	43
D7795_00434	D7795_v1_chr	431563	432645	-	1083	16
D7795_00435	D7795_v1_chr	432860	433480	+	621	7
D7795_00436	D7795_v1_chr	433619	434785	+	1167	34
D7795_00437	D7795_v1_chr	435323	436510	+	1188	11
D7795_00438	D7795_v1_chr	436717	437950	+	1234	14
D7795_00439	D7795_v1_chr	438249	439885	+	1637	23
D7795_00440	D7795_v1_chr	440198	440740	-	543	5
D7795_00441	D7795_v1_chr	441008	441531	-	524	4
D7795_00442	D7795_v1_chr	441625	442583	+	959	8
D7795_00443	D7795_v1_chr	442886	443901	+	1016	20
D7795_00444	D7795_v1_chr	444036	444335	+	300	5
D7795_00445	D7795_v1_chr	444429	446062	+	1634	0
D7795_00446	D7795_v1_chr	446254	447128	+	875	0
D7795_00447	D7795_v1_chr	447370	447699	+	330	0
D7795_00448	D7795_v1_chr	447761	448384	+	624	0
D7795_00449	D7795_v1_chr	448623	448936	+	314	5
D7795_00450	D7795_v1_chr	449250	449544	-	295	1
D7795_00451	D7795_v1_chr	449252	449489	+	238	0
D7795_00452	D7795_v1_chr	449300	449359	-	60	0
D7795_00453	D7795_v1_chr	449685	450462	-	778	9
D7795_00454	D7795_v1_chr	450816	451301	-	486	10
D7795_00455	D7795_v1_chr	451453	451857	+	405	8
D7795_00456	D7795_v1_chr	451906	452899	+	994	0
D7795_00457	D7795_v1_chr	453098	453521	+	424	0
D7795_00458	D7795_v1_chr	453589	453966	+	378	0
D7795_00459	D7795_v1_chr	454087	454969	+	883	0
D7795_00460	D7795_v1_chr	455045	455509	+	465	2
D7795_00461	D7795_v1_chr	455691	455936	-	246	3
D7795_00462	D7795_v1_chr	456069	456638	-	570	6
D7795_00463	D7795_v1_chr	456881	458557	-	1677	0
D7795_00464	D7795_v1_chr	458671	459480	-	810	0
D7795_00465	D7795_v1_chr	459505	459723	-	219	2
