# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/P125109_v3_2018.tradis.gff" "-o" "P125109_output_MAC_1.deseq.fc.tsv" "P125109_output_MAC_1.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	P125109_output_MAC_1.deseq.bam
P125109_00115	P125109_v1_chr	115282	115902	-	621	1061
P125109_00116	P125109_v1_chr	116420	116839	+	420	286
P125109_00117	P125109_v1_chr	116845	117540	-	696	306
P125109_00118	P125109_v1_chr	117681	119183	-	1503	844
P125109_00119	P125109_v1_chr	119194	120903	-	1710	949
P125109_00120	P125109_v1_chr	121243	122088	+	846	701
P125109_00121	P125109_v1_chr	122207	122974	+	768	762
P125109_00122	P125109_v1_chr	123013	123720	-	708	251
P125109_00123	P125109_v1_chr	123704	125314	-	1611	1008
P125109_00124	P125109_v1_chr	125290	126273	-	984	621
P125109_00125	P125109_v1_chr	126313	126402	-	90	25
P125109_00126	P125109_v1_chr	126451	128109	-	1659	733
P125109_00127	P125109_v1_chr	128177	128413	+	237	387
P125109_00128	P125109_v1_chr	128202	128324	+	123	0
P125109_00129	P125109_v1_chr	128644	128925	+	282	266
P125109_00130	P125109_v1_chr	128979	129584	-	606	341
P125109_00131	P125109_v1_chr	129595	130995	-	1401	830
P125109_00132	P125109_v1_chr	130998	132089	-	1092	234
P125109_00133	P125109_v1_chr	132089	133660	-	1572	1194
P125109_00134	P125109_v1_chr	133748	133834	-	87	1234
P125109_00135	P125109_v1_chr	134491	135435	+	945	2231
P125109_00136	P125109_v1_chr	135757	137481	+	1725	1841
P125109_00137	P125109_v1_chr	137481	137975	+	495	374
P125109_00138	P125109_v1_chr	138019	138193	-	175	278
P125109_00139	P125109_v1_chr	138259	139263	+	1005	37
P125109_00140	P125109_v1_chr	139869	140327	+	459	388
P125109_00141	P125109_v1_chr	140329	141270	+	942	84
P125109_00142	P125109_v1_chr	141267	141632	+	366	3
P125109_00143	P125109_v1_chr	141648	143414	+	1767	24
P125109_00144	P125109_v1_chr	143401	144888	+	1488	3
P125109_00145	P125109_v1_chr	144885	146243	+	1359	144
P125109_00146	P125109_v1_chr	146237	147319	+	1083	3
P125109_00147	P125109_v1_chr	147322	148638	+	1317	3
P125109_00148	P125109_v1_chr	148638	149882	+	1245	24
P125109_00149	P125109_v1_chr	149879	150946	+	1068	4
P125109_00150	P125109_v1_chr	151065	152540	+	1476	10
P125109_00151	P125109_v1_chr	152533	153453	+	921	91
P125109_00152	P125109_v1_chr	153455	154285	+	831	192
P125109_00153	P125109_v1_chr	154282	155544	+	1263	5
P125109_00154	P125109_v1_chr	155605	156756	+	1152	2
P125109_00155	P125109_v1_chr	156857	157774	+	918	1
P125109_00156	P125109_v1_chr	158053	158550	+	498	2
P125109_00157	P125109_v1_chr	158612	161317	+	2706	7
P125109_00158	P125109_v1_chr	161469	161864	+	396	125
P125109_00159	P125109_v1_chr	161898	162188	-	291	160
P125109_00160	P125109_v1_chr	162293	162886	-	594	556
P125109_00161	P125109_v1_chr	162990	163913	+	924	152
P125109_00162	P125109_v1_chr	163910	164101	-	192	19
P125109_00163	P125109_v1_chr	164111	164854	-	744	280
P125109_00164	P125109_v1_chr	164854	165474	-	621	49
P125109_00165	P125109_v1_chr	165700	166743	+	1044	874
P125109_00166	P125109_v1_chr	166774	167976	-	1203	929
P125109_00167	P125109_v1_chr	167966	169351	-	1386	1301
P125109_00168	P125109_v1_chr	169361	169798	-	438	247
P125109_00169	P125109_v1_chr	170020	170913	-	894	618
P125109_00170	P125109_v1_chr	171001	171564	+	564	283
P125109_00171	P125109_v1_chr	171561	172415	+	855	607
P125109_00172	P125109_v1_chr	172507	173457	-	951	492
P125109_00173	P125109_v1_chr	173457	174863	-	1407	589
P125109_00174	P125109_v1_chr	175027	176397	-	1371	1096
P125109_00175	P125109_v1_chr	176963	177727	+	765	529
P125109_00176	P125109_v1_chr	177729	177885	-	157	0
P125109_00177	P125109_v1_chr	177887	180550	+	2664	6
P125109_00178	P125109_v1_chr	180565	182448	+	1884	6
P125109_00179	P125109_v1_chr	182650	184074	+	1425	2
P125109_00180	P125109_v1_chr	184363	184647	+	285	88
P125109_00181	P125109_v1_chr	184685	185476	-	792	267
P125109_00182	P125109_v1_chr	185489	187111	-	1623	737
P125109_00183	P125109_v1_chr	187500	190097	+	2598	295
P125109_00184	P125109_v1_chr	190137	190601	-	465	707
P125109_00185	P125109_v1_chr	191019	191342	-	324	1551
P125109_00186	P125109_v1_chr	191613	191975	+	363	342
P125109_00187	P125109_v1_chr	192210	193163	+	954	202
P125109_00188	P125109_v1_chr	193160	194431	+	1272	125
P125109_00189	P125109_v1_chr	194421	195404	+	984	218
P125109_00190	P125109_v1_chr	195414	196181	+	768	633
P125109_00191	P125109_v1_chr	196211	197005	-	795	494
P125109_00192	P125109_v1_chr	197026	197886	-	861	160
P125109_00193	P125109_v1_chr	197993	198379	-	387	188
P125109_00194	P125109_v1_chr	198542	200152	+	1611	1024
P125109_00195	P125109_v1_chr	200230	202620	-	2391	1642
P125109_00196	P125109_v1_chr	202826	203362	+	537	135
P125109_00197	P125109_v1_chr	203420	204082	-	663	0
P125109_00198	P125109_v1_chr	204191	205117	+	927	645
P125109_00199	P125109_v1_chr	205114	205884	+	771	740
P125109_00200	P125109_v1_chr	206004	207083	-	1080	1127
P125109_00201	P125109_v1_chr	207092	209650	-	2559	1522
P125109_00202	P125109_v1_chr	209665	210348	-	684	716
P125109_00203	P125109_v1_chr	210396	210935	-	540	1491
P125109_00204	P125109_v1_chr	211305	211745	+	441	898
P125109_00205	P125109_v1_chr	211807	213036	+	1230	1281
P125109_00206	P125109_v1_chr	211884	211987	-	104	0
P125109_00207	P125109_v1_chr	213043	213423	-	381	195
P125109_00208	P125109_v1_chr	213518	214372	-	855	778
P125109_00209	P125109_v1_chr	214498	215289	-	792	309
P125109_00210	P125109_v1_chr	215410	215889	-	480	39
P125109_00211	P125109_v1_chr	215886	217304	-	1419	514
P125109_00212	P125109_v1_chr	217445	218386	-	942	731
P125109_00213	P125109_v1_chr	218410	218865	-	456	2
P125109_00214	P125109_v1_chr	219042	219746	-	705	1381
P125109_00215	P125109_v1_chr	219763	220293	-	531	870
P125109_00216	P125109_v1_chr	220321	222795	+	2475	2231
P125109_00217	P125109_v1_chr	222936	225458	+	2523	2356
P125109_00218	P125109_v1_chr	225467	225692	-	226	593
P125109_00219	P125109_v1_chr	225751	227994	+	2244	2057
P125109_00220	P125109_v1_chr	228043	228840	+	798	283
P125109_00221	P125109_v1_chr	228840	229730	+	891	219
P125109_00222	P125109_v1_chr	229727	231784	+	2058	726
P125109_00223	P125109_v1_chr	231821	232027	+	207	137
P125109_00224	P125109_v1_chr	232721	233281	+	561	907
P125109_00225	P125109_v1_chr	233367	236024	+	2658	4280
P125109_00226	P125109_v1_chr	236042	236794	+	753	658
P125109_00227	P125109_v1_chr	236813	237325	+	513	454
P125109_00228	P125109_v1_chr	237322	237798	+	477	9
P125109_00229	P125109_v1_chr	237798	238328	+	531	166
P125109_00230	P125109_v1_chr	238325	239167	+	843	452
P125109_00231	P125109_v1_chr	239159	239256	+	98	37
P125109_00232	P125109_v1_chr	239275	240555	-	1281	2
P125109_00233	P125109_v1_chr	240725	242146	+	1422	1095
P125109_00234	P125109_v1_chr	242228	242572	+	345	1
P125109_00235	P125109_v1_chr	242673	243296	-	624	836
P125109_00236	P125109_v1_chr	243333	244133	-	801	247
P125109_00237	P125109_v1_chr	244126	244824	-	699	1
P125109_00238	P125109_v1_chr	244909	246426	+	1518	5220
P125109_00239	P125109_v1_chr	246556	247983	+	1428	196
P125109_00240	P125109_v1_chr	247906	248022	+	117	108
P125109_00241	P125109_v1_chr	248136	249293	+	1158	668
P125109_00242	P125109_v1_chr	249350	252382	-	3033	2603
P125109_00243	P125109_v1_chr	252568	252954	-	387	574
P125109_00244	P125109_v1_chr	253201	254502	+	1302	1582
P125109_00245	P125109_v1_chr	254407	254528	+	122	0
P125109_00246	P125109_v1_chr	254539	255363	-	825	23
P125109_00247	P125109_v1_chr	255393	258065	-	2673	19
P125109_00248	P125109_v1_chr	258303	259097	-	795	26
P125109_00249	P125109_v1_chr	259381	259519	+	139	1
P125109_00250	P125109_v1_chr	259548	260273	+	726	3
P125109_00251	P125109_v1_chr	260459	261382	+	924	1
P125109_00252	P125109_v1_chr	261527	262252	+	726	1
P125109_00253	P125109_v1_chr	262399	262956	+	558	1
P125109_00254	P125109_v1_chr	262980	263045	+	66	0
P125109_00255	P125109_v1_chr	263097	264293	+	1197	2
P125109_00256	P125109_v1_chr	264371	264419	+	49	0
P125109_00257	P125109_v1_chr	264606	265364	+	759	2
P125109_00258	P125109_v1_chr	265377	266234	+	858	21
P125109_00259	P125109_v1_chr	266246	267598	+	1353	12
P125109_00260	P125109_v1_chr	267630	270044	+	2415	23
P125109_00261	P125109_v1_chr	270167	270652	+	486	229
P125109_00262	P125109_v1_chr	270656	271681	+	1026	0
P125109_00263	P125109_v1_chr	271787	272242	+	456	1
P125109_00264	P125109_v1_chr	272246	273034	+	789	20
P125109_00265	P125109_v1_chr	273034	274182	+	1149	12
P125109_00266	P125109_v1_chr	274179	274775	+	597	260
P125109_00267	P125109_v1_chr	274799	278281	+	3483	12
P125109_00268	P125109_v1_chr	278294	279253	+	960	3
P125109_00269	P125109_v1_chr	279433	281196	+	1764	466
P125109_00270	P125109_v1_chr	281272	283413	+	2142	896
P125109_00271	P125109_v1_chr	283469	283858	+	390	576
P125109_00272	P125109_v1_chr	283921	285213	+	1293	51
P125109_00273	P125109_v1_chr	285297	285557	-	261	47
P125109_00274	P125109_v1_chr	285544	285744	-	201	91
P125109_00275	P125109_v1_chr	285942	286487	+	546	407
P125109_00276	P125109_v1_chr	286484	286906	+	423	106
P125109_00277	P125109_v1_chr	286938	287639	+	702	512
P125109_00278	P125109_v1_chr	287713	289431	-	1719	1
P125109_00279	P125109_v1_chr	289542	290249	-	708	948
P125109_00280	P125109_v1_chr	290246	290650	-	405	726
P125109_00281	P125109_v1_chr	290769	291584	-	816	256
P125109_00282	P125109_v1_chr	291623	292276	-	654	930
P125109_00283	P125109_v1_chr	292269	293300	-	1032	1210
P125109_00284	P125109_v1_chr	293490	294056	+	567	3
P125109_00285	P125109_v1_chr	294430	295967	+	1538	3952
P125109_00286	P125109_v1_chr	296038	296114	+	77	130
P125109_00287	P125109_v1_chr	296226	296301	+	76	219
P125109_00288	P125109_v1_chr	296486	299527	+	3042	5820
P125109_00289	P125109_v1_chr	299727	299837	+	111	160
P125109_00290	P125109_v1_chr	300032	300108	+	77	0
P125109_00291	P125109_v1_chr	300273	301076	+	804	486
P125109_00292	P125109_v1_chr	301097	302011	-	915	257
P125109_00293	P125109_v1_chr	302116	303291	+	1176	560
P125109_00294	P125109_v1_chr	303423	304223	+	801	493
P125109_00295	P125109_v1_chr	304301	305071	+	771	237
P125109_00296	P125109_v1_chr	305127	306347	-	1221	773
P125109_00297	P125109_v1_chr	306566	307321	-	756	202
P125109_00298	P125109_v1_chr	307356	308078	+	723	325
P125109_00299	P125109_v1_chr	308075	308542	-	468	102
P125109_00300	P125109_v1_chr	308597	309337	+	741	2
P125109_00301	P125109_v1_chr	309471	309547	+	77	0
P125109_00302	P125109_v1_chr	309870	310925	-	1056	672
P125109_00303	P125109_v1_chr	310936	311679	-	744	372
P125109_00304	P125109_v1_chr	311736	312008	+	273	805
P125109_00305	P125109_v1_chr	312035	312553	+	519	1192
P125109_00306	P125109_v1_chr	312950	313591	+	642	180
P125109_00307	P125109_v1_chr	313534	316830	+	3297	3218
P125109_00308	P125109_v1_chr	316827	317273	+	447	226
P125109_00309	P125109_v1_chr	317339	317596	-	258	197
P125109_00310	P125109_v1_chr	317778	317840	+	63	376
P125109_00311	P125109_v1_chr	318669	318917	+	249	37
P125109_00312	P125109_v1_chr	318722	319039	+	318	71
P125109_00313	P125109_v1_chr	319072	319503	+	432	0
P125109_00314	P125109_v1_chr	319615	319737	+	123	0
P125109_00315	P125109_v1_chr	319877	320098	+	222	0
P125109_00316	P125109_v1_chr	320165	320407	-	243	342
P125109_00317	P125109_v1_chr	320621	320728	+	108	81
P125109_00318	P125109_v1_chr	320954	321232	+	279	130
P125109_00319	P125109_v1_chr	321995	322492	+	498	2
P125109_00320	P125109_v1_chr	322708	323313	+	606	1314
P125109_00321	P125109_v1_chr	323337	325847	+	2511	2115
P125109_00322	P125109_v1_chr	325869	326339	+	471	230
P125109_00323	P125109_v1_chr	326747	327568	+	822	515
P125109_00324	P125109_v1_chr	327450	328061	-	612	29
P125109_00325	P125109_v1_chr	327693	327908	+	216	0
P125109_00326	P125109_v1_chr	328049	328180	+	132	114
P125109_00327	P125109_v1_chr	328383	329330	+	948	137
P125109_00328	P125109_v1_chr	329450	329665	+	216	239
P125109_00329	P125109_v1_chr	329669	330388	-	720	4723
P125109_00330	P125109_v1_chr	330719	331126	-	408	953
P125109_00331	P125109_v1_chr	331436	332203	-	768	325
P125109_00332	P125109_v1_chr	332312	334756	-	2445	1697
P125109_00333	P125109_v1_chr	334996	335574	+	579	1
P125109_00334	P125109_v1_chr	335787	336554	+	768	959
P125109_00335	P125109_v1_chr	336525	337265	-	741	295
P125109_00336	P125109_v1_chr	337515	338570	+	1056	2924
P125109_00337	P125109_v1_chr	338675	338722	+	48	101
P125109_00338	P125109_v1_chr	338789	339928	+	1140	1642
P125109_00339	P125109_v1_chr	339925	340539	+	615	346
P125109_00340	P125109_v1_chr	340694	342151	-	1458	406
P125109_00341	P125109_v1_chr	342400	342858	+	459	274
P125109_00342	P125109_v1_chr	342947	344191	+	1245	1099
P125109_00343	P125109_v1_chr	344249	344650	+	402	656
P125109_00344	P125109_v1_chr	344701	345753	-	1053	1583
P125109_00345	P125109_v1_chr	346036	347139	+	1104	268
P125109_00346	P125109_v1_chr	347151	348398	+	1248	182
P125109_00347	P125109_v1_chr	348514	348589	+	76	0
P125109_00348	P125109_v1_chr	348753	349022	+	270	40
P125109_00349	P125109_v1_chr	349035	349436	+	402	154
P125109_00350	P125109_v1_chr	349361	349660	-	300	29
P125109_00351	P125109_v1_chr	349727	350095	+	369	238
P125109_00352	P125109_v1_chr	350040	350168	+	129	133
P125109_00353	P125109_v1_chr	350302	350601	+	300	188
P125109_00354	P125109_v1_chr	350949	352181	+	1233	523
P125109_00355	P125109_v1_chr	352313	353734	+	1422	1227
P125109_00356	P125109_v1_chr	353736	354362	+	627	136
P125109_00357	P125109_v1_chr	354377	355255	+	879	71
P125109_00358	P125109_v1_chr	355255	356169	+	915	610
P125109_00359	P125109_v1_chr	356177	356256	+	80	0
P125109_00360	P125109_v1_chr	356203	357168	+	966	991
P125109_00361	P125109_v1_chr	357113	357385	-	273	219
P125109_00362	P125109_v1_chr	358077	358475	+	399	3
P125109_00363	P125109_v1_chr	358522	359280	-	759	1075
P125109_00364	P125109_v1_chr	359246	360571	-	1326	2306
P125109_00365	P125109_v1_chr	360576	363137	-	2562	1631
P125109_00366	P125109_v1_chr	363121	363882	-	762	290
P125109_00367	P125109_v1_chr	363944	364480	-	537	769
P125109_00368	P125109_v1_chr	365143	365877	+	735	96
P125109_00369	P125109_v1_chr	365850	366350	+	501	29
P125109_00370	P125109_v1_chr	366439	366536	+	98	2
P125109_00371	P125109_v1_chr	366652	368226	+	1575	3178
P125109_00372	P125109_v1_chr	368326	369069	+	744	688
P125109_00373	P125109_v1_chr	369042	369530	+	489	48
P125109_00374	P125109_v1_chr	369931	370455	+	525	1
P125109_00375	P125109_v1_chr	370713	371240	+	528	60
P125109_00376	P125109_v1_chr	371251	371475	+	225	293
P125109_00377	P125109_v1_chr	371533	371892	+	360	704
P125109_00378	P125109_v1_chr	371962	373419	-	1458	1147
P125109_00379	P125109_v1_chr	373436	376603	-	3168	1452
P125109_00380	P125109_v1_chr	376600	377826	-	1227	503
P125109_00381	P125109_v1_chr	378103	380406	+	2304	1755
P125109_00382	P125109_v1_chr	380403	380867	+	465	212
P125109_00383	P125109_v1_chr	380945	381139	+	195	25
P125109_00384	P125109_v1_chr	381431	382684	+	1254	944
P125109_00385	P125109_v1_chr	382873	384831	+	1959	3201
P125109_00386	P125109_v1_chr	384841	387813	+	2973	4793
P125109_00387	P125109_v1_chr	388090	388191	+	102	106
P125109_00388	P125109_v1_chr	388308	389711	+	1404	1667
P125109_00389	P125109_v1_chr	389708	390718	+	1011	793
P125109_00390	P125109_v1_chr	390718	390849	+	132	17
P125109_00391	P125109_v1_chr	390735	390960	+	226	58
P125109_00392	P125109_v1_chr	391053	392060	+	1008	615
P125109_00393	P125109_v1_chr	392224	394314	+	2091	1290
P125109_00394	P125109_v1_chr	394355	394987	-	633	722
P125109_00395	P125109_v1_chr	395219	395494	+	276	41
P125109_00396	P125109_v1_chr	395630	397255	-	1626	684
P125109_00397	P125109_v1_chr	397521	398408	+	888	173
P125109_00398	P125109_v1_chr	398439	398521	-	83	124
P125109_00399	P125109_v1_chr	398531	399700	+	1170	483
P125109_00400	P125109_v1_chr	399738	401189	+	1452	553
P125109_00401	P125109_v1_chr	401230	403116	+	1887	391
P125109_00402	P125109_v1_chr	403220	404194	-	975	1
P125109_00403	P125109_v1_chr	404707	407721	+	3015	8281
P125109_00404	P125109_v1_chr	407807	408430	+	624	831
P125109_00405	P125109_v1_chr	408475	409632	-	1158	2143
P125109_00406	P125109_v1_chr	409979	411199	+	1221	1032
P125109_00407	P125109_v1_chr	411214	412308	+	1095	297
P125109_00408	P125109_v1_chr	412346	412654	-	309	68
P125109_00409	P125109_v1_chr	412922	413137	+	216	242
P125109_00410	P125109_v1_chr	413163	414275	-	1113	444
P125109_00411	P125109_v1_chr	414365	415048	+	684	334
P125109_00412	P125109_v1_chr	415217	416428	+	1212	1595
P125109_00413	P125109_v1_chr	416725	416985	+	261	2212
P125109_00414	P125109_v1_chr	417088	417213	-	126	752
P125109_00415	P125109_v1_chr	417334	417654	+	321	308
P125109_00416	P125109_v1_chr	417746	418858	+	1113	528
P125109_00417	P125109_v1_chr	418873	419682	-	810	20
P125109_00418	P125109_v1_chr	419822	420277	+	456	2
P125109_00419	P125109_v1_chr	420462	421007	+	546	743
P125109_00420	P125109_v1_chr	421034	421225	+	192	331
P125109_00421	P125109_v1_chr	421230	421322	+	93	10
P125109_00422	P125109_v1_chr	421476	422153	+	678	571
P125109_00423	P125109_v1_chr	422224	422508	+	285	164
P125109_00424	P125109_v1_chr	422546	423457	-	912	331
P125109_00425	P125109_v1_chr	423583	424491	+	909	599
P125109_00426	P125109_v1_chr	424513	425685	-	1173	821
P125109_00427	P125109_v1_chr	425858	428998	-	3141	1447
P125109_00428	P125109_v1_chr	428995	430197	-	1203	747
P125109_00429	P125109_v1_chr	430412	431101	+	690	598
P125109_00430	P125109_v1_chr	431171	432466	+	1296	788
P125109_00431	P125109_v1_chr	432875	434194	+	1320	808
P125109_00432	P125109_v1_chr	434269	435639	+	1371	559
P125109_00433	P125109_v1_chr	435801	437618	+	1818	556
P125109_00434	P125109_v1_chr	437690	438292	-	603	283
P125109_00435	P125109_v1_chr	438502	439083	-	582	75
P125109_00436	P125109_v1_chr	439177	440241	+	1065	182
P125109_00437	P125109_v1_chr	440438	441565	+	1128	209
P125109_00438	P125109_v1_chr	441588	441920	+	333	0
P125109_00439	P125109_v1_chr	441981	443795	+	1815	2
P125109_00440	P125109_v1_chr	443806	444777	+	972	1
P125109_00441	P125109_v1_chr	444922	445287	+	366	2
P125109_00442	P125109_v1_chr	445313	446005	+	693	198
P125109_00443	P125109_v1_chr	446175	446522	+	348	146
P125109_00444	P125109_v1_chr	446770	447096	-	327	0
P125109_00445	P125109_v1_chr	446804	447067	+	264	0
P125109_00446	P125109_v1_chr	446846	446911	-	66	0
P125109_00447	P125109_v1_chr	447151	448014	-	864	488
P125109_00448	P125109_v1_chr	448314	448853	-	540	474
P125109_00449	P125109_v1_chr	449005	449454	+	450	73
P125109_00450	P125109_v1_chr	449458	450561	+	1104	3
P125109_00451	P125109_v1_chr	450650	451120	+	471	1
P125109_00452	P125109_v1_chr	451141	451560	+	420	1
P125109_00453	P125109_v1_chr	451639	452619	+	981	1
P125109_00454	P125109_v1_chr	452597	453112	+	516	26
P125109_00455	P125109_v1_chr	453216	454190	-	975	477
P125109_00456	P125109_v1_chr	454247	456109	-	1863	2
P125109_00457	P125109_v1_chr	456133	457032	-	900	2
P125109_00458	P125109_v1_chr	457033	457275	-	243	12
P125109_00459	P125109_v1_chr	457485	458933	+	1449	136
P125109_00460	P125109_v1_chr	458977	459774	-	798	1074
P125109_00461	P125109_v1_chr	459768	460637	-	870	539
